codigo,descripcion,campo
I312,Hemopericardio, no clasificado en otra parte
I313,Derrame pericardico (no inflamatorio)
K022,Caries del cemento
K023,Caries dentaria detenida
K024,Odontoclasia
K028,Otras caries dentales
K029,Caries dental, no especificada
K03,Otras enfermedades de los tejidos duros de los dientes
K030,Atricion excesiva de los dientes
K031,Abrasion de los dientes
K032,Erosion de los dientes
K033,Reabsorcion patologica de los dientes
K034,Hipercementosis
K035,Anquilosis dental
K036,Depositos [acreciones] en los dientes
K037,Cambios posteruptivos del color de los tejidos dentales duros
K038,Otras enfermedades especificadas de los tejidos duros de los dientes
K039,Enfermedad no especificada de los tejidos dentales duros
K04,Enfermedades de la pulpa y de los tejidos periapicales
K040,Pulpitis
K041,Necrosis de la pulpa
K042,Degeneracion de la pulpa
K043,Formacion anormal de tejido duro en la pulpa
K044,Periodontitis apical aguda originada en la pulpa
K045,Periodontitis apical cronica
K046,Absceso periapical con fistula
K047,Absceso periapical sin fistula
K048,Quiste radicular
K049,Otras enfermedades y las no especificadas de la pulpa y del tejido periapical
K05,Gingivitis y enfermedades periodontales
K050,Gingivitis aguda
K051,Gingivitis cronica
K052,Periodontitis aguda
K053,Periodontitis cronica
K054,Periodontosis
K055,Otras enfermedades periodontales
K056,Enfermedad de periodonto, no especificada
K06,Otros trastornos de la encia y de la zona edentula
K060,Retraccion gingival
K061,Hiperplasia gingival
K062,Lesiones de la encia y de la zona edentula asociadas con traumatismo
K068,Otros trastornos especificados de la encia y de la zona edentula
K069,Trastorno no especificado de la encia y de la zona edentula
K07,Anomalias dentofaciales [inclusola maloclusion]
K070,Anomalias evidentes del tamaño de los maxilares
K071,Anomalias de la relacion maxilobasilar
K072,Anomalias de la relacion entre los arcos dentarios
K073,Anomalias de la posicion del diente
K074,Maloclusion de tipo no especificado
K075,Anomalias dentofaciales funcionales
K076,Trastornos de la articulacion temporomaxilar
K078,Otras anomalias dentofaciales
K079,Anomalia dentofacial, no especificada
K08,Otros trastornos de los dientes y de sus estructuras de sosten
K080,Exfoliacion de los dientes debida a causas sistemicas
K081,Perdida de dientes debida a accidente, extraccion o enfermedad periodontal local
K082,Atrofia de reborde alveolar desdentado
K083,Raiz dental retenida
K088,Otras afecciones especificadas de los dientes y de sus estructuras de sosten
K089,Trastorno de los dientes y de sus estructuras de sosten, no especificado
K09,Quistes de la region bucal no clasificadas en otra parte
K090,Quistes originados por el desarrollo de los dientes
K091,Quistes de las fisuras (no odontogenicos)
K092,Otros quistes de los maxilares
K098,Otros quistes de la region bucal, no clasificados en otra parte
K099,Quiste de la region bucal, sin otra especificacion
K10,Otras enfermedades de los maxilares
K100,Trastornos del desarrollo de los maxilares
K101,Granuloma central de celulas gigantes
K102,Afecciones inflamatorias de los maxilares
K103,Alveolitis del maxilar
K108,Otras enfermedades especificadas de los maxilares
K109,Enfermedad de los maxilares, no especificada
K11,Enfermedades de las glandulas salivares
K110,Atrofia de glandula salival
K111,Hipertrofia de glandula salival
K112,Sialadenitis
K113,Absceso de glandula salival
K114,Fistula de glandula salival
K115,Sialolitiasis
K116,Mucocele de glandula salival
K117,Alteraciones de la secrecion salival
K118,Otras enfermedades de las glandulas salivales
K119,Enfermedad de glandula salival. no especificada
K12,Estomatitis y lesiones afines
K120,Estomatitis aftosa recurrente
K121,Otras formas de estomatitis
K122,Celulitis y absceso de boca
K13,Otras enfermedades de los labios y de la mucosa bucal
K130,Enfermedades de los labios
K131,Mordedura del labio y de la mejilla
K132,Leucoplasia y otras alteraciones del epitelio bucal, incluyendo la lengua
K133,Leucoplasia pilosa
K134,Granuloma y lesiones semejantes de la mucosa bucal
K135,Fibrosis de la submucosa bucal
K136,Hiperplasia irritativa de la mucosa bucal
K137,Otras lesiones y las no especificadas de la mucosa bucal
K14,Enfermedades de la lengua
K140,Glositis
K141,Lengua geografica
K142,Glositis romboidea mediana
K143,Hipertrofia de las papilas linguales
K144,Atrofia de las papilas linguales
K145,Lengua plegada
K146,Glosodinia
K148,Otras enfermedades de la lengua
K149,Enfermedad de la lengua, no especificada
K20,Esofagitis
K21,Enfermedad del reflujo gastroesofagico
K210,Enfermedad del reflujo gastroesofagico con esofagitis
K219,Enfermedad del reflujo gastroesofagico sin esofagitis
K22,Otras enfermedades del esofago
K220,Acalasia del cardias
K221,Ulcera del esofago
K222,Obstruccion del esofago
K223,Perforacion del esofago
K224,Disquinesia del esofago
K225,Diverticulo del esofago, adquirido
K226,Sindrome de laceracion y hemorragia gastroesofagicas
K228,Otras enfermedades especificadas del esofago
K229,Enfermedad del esofago, no especificada
K23,Trastornos del esofago en enfermedades clasificadas en otra parte
K230,Esofagitis tuberculosa (a18.)
K231,Megaesofago en la enfermedad de chagas (b57.3)
K238,Trastornos del esofago en otras enfermedades clasificadas en otra parte
K25,Ulcera gastrica
K250,Ulcera gastrica aguda con hemorragia
K251,Ulcera gastrica aguda con perforacion
K252,Ulcera gastrica aguda con hemorragia y perforacion
K253,Ulcera gastrica aguda sin hemorragia ni perforacion
K254,Ulcera gastrica cronica o no especificada, con hemorragia
K255,Ulcera gastrica cronica o no especificada, con perforacion
K256,Ulcera gastrica cronica o no especificada, con hemorragia y perforacion
K257,Ulcera gastrica cronica sin hemorragia ni perforacion
K259,Ulcera gastrica no especificada como aguda ni cronica, sin hemorragia ni perforacion
K26,Ulcera duodenal
K260,Ulcera duodenal aguda con hemorragia
K261,Ulcera duodenal aguda con perforacion
K262,Ulcera duodenal aguda con hemorragia y perforacion
K263,Ulcera duodenal aguda sin hemorragia ni perforacion
K264,Ulcera duodenal cronica o no especificada, con hemorragia
K265,Ulcera duodenal cronica o no especificada, con perforacion
K266,Ulcera duodenal cronica o no especificada, con hemorragia y perforacion
K267,Ulcera duodenal cronica sin hemorragia ni perforacion
K269,Ulcera duodenal no especificada como aguda ni cronica, sin hemorragia ni perforacion
K27,Ulcera peptica, sitio no especificado
K270,Ulcera peptica, de sitio no especificado aguda con hemorragia
K271,Ulcera peptica, de sitio no especificado aguda con perforacion
K272,Ulcera peptica, de sitio no especificado aguda con hemorragia y perforacion
K273,Ulcera peptica, de sitio no especificado aguda sin hemorragia ni perforacion
K274,Ulcera peptica, de sitio no especificado cronica o no especificada, con hemorragia
K275,Ulcera peptica, de sitio no especificado cronica o no especificada, con perforacion
K276,Ulcera peptica, de sitio no especificado cronica o no especificada, con hemorragia y perforacion
K277,Ulcera peptica, de sitio no especificado cronica sin hemorragia ni perforacion
K279,Ulcera peptica, de sitio no especificado no especificada como aguda ni cronica, sin hemorragia ni perforacion
K28,Ulcera gastroyeyunal
K280,Ulcera gastroyeyunal aguda con hemorragia
K281,Ulcera gastroyeyunal aguda con perforacion
K282,Ulcera gastroyeyunal aguda con hemorragia y perforacion
K283,Ulcera gastroyeyunal aguda sin hemorragia ni perforacion
K284,Ulcera gastroyeyunal cronica o no especificada, con hemorragia
K285,Ulcera gastroyeyunal cronica o no especificada, con perforacion
K286,Ulcera gastroyeyunal cronica o no especificada, con hemorragia y perforacion
K287,Ulcera gastroyeyunal cronica sin hemorragia ni perforacion
K289,Ulcera gastroyeyunal no especificada como aguda ni cronica, sin hemorragia ni perforacion
K29,Gastritis y duodenitis
K290,Gastritis aguda hemorragica
K291,Otras gastritis agudas
K292,Gastritis alcoholica
K293,Gastritis cronica superficial.
K294,Gastritis cronica atrofica
K295,Gastritis cronica, no especificada
K296,Otras gastritis
K297,Gastritis, no especificada
K298,Duodenitis
K299,Gastroduodenitis, no especificada
K30,Dispepsia
K31,Otras enfermedades del estomago y del duodeno
K310,Dilatacion aguda del estomago
K311,Estenosis pilorica hipertrofica del adulto
K312,Estrechez o estenosis del estomago en reloj de arena
K313,Espasmo del piloro, no clasificado en otra parte
K314,Diverticulo gastrico
K315,Obstruccion del duodeno
K316,Fistula del estomago y del duodeno
K317,Polipo del estomago y del duodeno
K318,Otras enfermedades especificadas del estomago y del duodeno
K319,Enfermedad del estomago y del duodeno, no especificada
K35,Apendicitis aguda
K350,Apendicitis aguda con peritonitis generalizada
K351,Apendicitis aguda con absceso peritoneal
K359,Apendicitis aguda, no especificada
K36,Otros tipos de apendicitis
K37,Apendicitis no especificada
K38,Otras enfermedades del apendice
K380,Hiperplasia del apendice
K381,Concreciones apendiculares
K382,Diverticulo del apendice
K383,Fistula del apendice
K388,Otras enfermedades especificadas del apendice
K389,Enfermedad del apendice, no especificada
K40,Hernia inguinal
K400,Hernia inguinal bilateral con obstruccion, sin gangrena
K401,Hernia inguinal bilateral con gangrena
K402,Hernia inguinal bilateral, sin obstruccion ni gangrena
K403,Hernia inguinal unilateral o no especificada, con obstruccion, sin gangrena
K404,Hernia inguinal unilateral o no especificada, con gangrena
K409,Hernia inguinal unilateral o no especificada, sin obstrucion ni gangrena
K41,Hernia femoral
K410,Hernia femoral bilateral, con obstruccion, sin gangrena
K411,Hernia femoral bilateral, con gangrena
K412,Hernia femoral bilateral, sin obstruccion ni gangrena
K413,Hernia femoral unilateral o no especificada, con obstruccion, sin gangrena
K414,Hernia femoral unilateral o no especificada, con gangrena
K419,Hernia femoral unilateral o no especificada, sin obstruccion ni gangrena
K42,Hernia umbilical
K420,Hernia umbilical con obstruccion, sin gangrena
K421,Hernia umbilical con gangrena
K429,Hernia umbilical sin obstruccion ni gangrena
K43,Hernia ventral
K430,Hernia ventral con obstruccion, sin gangrena
K431,Hernia ventral con gangrena
K439,Hernia ventral sin obstruccion ni gangrena
K44,Hernia diafragmatica
K440,Hernia diafragmatica con obstruccion, sin gangrena
K441,Hernia diafragmatica con gangrena
K449,Hernia diafragmatica sin obstruccion ni gangrena
K45,Otras hernias de la cavidad abdominal
K450,Otras hernias de la cavidad abdominal especificadas, con obstruccion, sin gangrena
K451,Otras hernias de la cavidad abdominal especificadas, con gangrena
K458,Otras hernias de la cavidad abdominal especificadas, sin obstruccion ni gangrena
K46,Hernia no especificada de la cavidad abdominal
K460,Hernia abdominal no especificada, con obstruccion, sin gangrena
K461,Hernia abdominal no especificada, con gangrena
K469,Hernia abdominal no especificada, sin obstruccion ni gangrena
K50,Enfermedades de crohn [enteritis regional]
K500,Enfermedad de crohn del intestino delgado
K501,Enfermedad de crohn del intestino grueso
K508,Otros tipos de enfermedad de crohn
K509,Enfermedad de crohn, no especificada
K51,Colitis ulcerativa
K510,Enterocolitis (cronica) ulcerativa
K511,Ileocolitis (cronica) ulcerativa
K512,Proctitis (cronica) ulcerativa
K513,Rectosigmoiditis (cronica) ulcerativa
K514,Seudopoliposis del colon
K515,Proctocolitis mucosa
K518,Otras colitis ulcerativas
K519,Colitis ulcerativa, sin otra especificacion
K52,Otras colitis y gastroenterit no infecciosas
K520,Colitis y gastroenteritis debidas a radiacion
K521,Colitis y gastroenteritis toxicas
K522,Colitis y gastroenteritis alergicas y dieteticas
K528,Otras colitis y gastroenteritis no infecciosas especificadas
K529,Colitis y gastroenteritis no infecciosas, no especificadas
K55,Trastornos vasculares de los intestinos
K550,Trastorno vascular agudo de los intestinos
K551,Trastorno vascular cronico del intestino
K552,Angiodisplasia del colon
K558,Otros trastornos vasculares del intestino
K559,Trastorno vascular del intestino, no especificado
K56,Ileo paralitico y obstruccion intestinal sin hernia
K560,Ileo paralitico
K561,Invaginacion
K562,Volvulo
K563,Ileo por calculo biliar
K564,Otras obstrucciones del intestino
K565,Adherencias [bridas] intestinales con obstruccion
K566,Otras obstrucciones intestinales y las no especificadas
K567,Ileo, no especificado
K57,Enfermedad diverticular del intestino
K570,Enfermedad diverticular del intestino delgado con perforacion y absceso
K571,Enfermedad diverticular del intestino delgado sin perforacion ni absceso
K572,Enfermedad diverticular del intestino grueso con perforacion y absceso
K573,Enfermedad diverticular del intestino grueso sin perforacion ni absceso
K574,Enfermedad diverticular de ambos intestinos con perforacion y absceso
K575,Enfermedad diverticular de ambos intestinos, sin perforacion ni absceso
K578,Enfermedad diverticular del intestino, parte no especificada, con perforacion y absceso
K579,Enfermedad diverticular del intestino, parte no especificada, sin perforacion ni absceso
K58,Sindrome del colon irritable
K580,Sindrome del colon irritable con diarrea
K589,Sindrome del colon irritable sin diarrea
K59,Otros trastornos funcionales del intestino
K590,Constipacion
K591,Diarrea funcional
K592,Intestino neurogenico, no clasificado en otra parte
K593,Megacolon, no clasificado en otra parte
K594,Espasmo anal
K598,Otros trastornos funcionales especificados del intestino
K599,Trastorno funcional intestinal, no especificado
K60,Fisura y fistula de las regiones anal y rectal
K600,Fisura anal aguda
K601,Fisura anal cronica
K602,Fisura anal, no especificada
K603,Fisura anal
K604,Fistula rectal
K605,Fistula anorrectal
K61,Absceso de las regiones anal y rectal
K610,Absceso anal
K611,Absceso rectal
K612,Absceso anorrectal
K613,Absceso isquiorrectal
K614,Absceso intraesfinteriano
K62,Otras enfermedades del ano y del recto
K620,Polipo anal
K621,Polipo rectal
K622,Prolapso anal
K623,Prolapso rectal
K624,Estenosis del ano y del recto
K625,Hemorragia del ano y del recto
K626,Ulcera del ano y del recto
K627,Proctitis por radiacion
K628,Otras enfermedades especificadas del ano y del recto
K629,Enfermedad del ano y del recto, no especificada
K63,Otras enfermedades de los intestinos
K630,Absceso del intestino
K631,Perforacion del intestino (no traumatica)
K632,Fistula del intestino
K633,Ulcera del intestino
K634,Enteroptosis
K635,Polipo del colon
K638,Otras enfermedades especificadas del intestino
K639,Enfermedad del intestino, no especificada
K65,Peritonitis
K650,Peritonitis aguda
K658,Otras peritonitis
K659,Peritonitis, no especificada
K66,Otros trastornos del peritoneo
K660,Adherencias peritoneales
K661,Hemoperitoneo
K668,Otros trastornos especificados del peritoneo
K669,Trastorno del peritoneo, no especificado
K67,Trastornos del peritoneo en enfermedades clasificadas en otra parte
K670,Peritonitis por clamidias (a74.8)
K671,Peritonitis gonococica (a54.8)
K672,Peritonitis sifilitica (a52.7)
K673,Peritonitis tuberculosa (a18.3)
K678,Otros trastornos del peritoneo en enfermedades infecciosas clasificadas en otra parte
K70,Enfermedad alcoholica del higado
K700,Higado alcoholico adiposo
K701,Hepatitis alcoholica
K702,Fibrosis y esclerosis del higado, alcoholica
K703,Cirrosis hepatica alcoholica
K704,Insuficiencia hepatica alcoholica
K709,Enfermedad hepatica alcoholica, no especificada
K71,Enfermedad toxica del higado
K710,Enfermedad toxica del higado, con colestasis
K711,Enfermedad toxica del higado, con necrosis hepatica
K712,Enfermedad toxica del higado, con hepatitis aguda
K713,Enfermedad toxica del higado, con hepatitis cronica persistente
K714,Enfermedad toxica del higado, con hepatitis cronica lobular
K715,Enfermedad toxica del higado, con hepatitis cronica activa
K716,Enfermedad toxica del higado, con hepatitis no clasificada en otra parte
K717,Enfermedad toxica del higado, con cirrosis y fibrosis del higado
K718,Enfermedad toxica del higado, con otros trastornos hepaticos
K719,Enfermedad toxica del higado, no especificada
K72,Insuficiencia hepatica no clasificadas en otra parte
K720,Insuficiencia hepatica aguda o subaguda
K721,Insuficiencia hepatica cronica
K729,Insuficiencia hepatica, no especificada
K73,Hepatitis cronica no clasificadas en otra parte
K730,Hepatitis cronica persistente, no clasificada en otra parte
K731,Hepatitis cronica lobular, no clasificada en otra parte
K732,Hepatitis cronica activa, no clasificada en otra parte
K738,Otras hepatitis cronicas, no clasificadas en otra parte
K739,Hepatitis cronica, no especificada
K74,Fibrosis y cirrosis del higado
K740,Fibrosis hepatica
K741,Esclerosis hepatica
K742,Fibrosis hepatica con esclerosis hepatica
K743,Cirrosis biliar primaria
K744,Cirrosis biliar secundaria
K745,Cirrosis biliar, no especificada
K746,Otras cirrosis del higado y la no especificadas
K75,Otras enfermedades inflamatorias del higado
K750,Absceso del higado
K751,Flebitis de la vena porta
K752,Hepatitis reactiva no especifica
K753,Hepatitis granulomatosa, no clasificada en otra parte
K754,Hepatitis autoinmune
K758,Otras enfermedades inflamatorias del higado, especificadas
K759,Enfermedad inflamatoria del higado, no especificada
K76,Otras enfermedades del higado
K760,Degeneracion grasa del higado, no clasificada en otra parte
K761,Congestion pasiva cronica del higado
K762,Necrosis hemorragica central del higado
K763,Infarto del higado
K764,Peliosis hepatica
K765,Enfermedad veno
K766,Hipertension portal
K767,Sindrome hepatorrenal
K768,Otras enfermedades especificas del higado
K769,Enfermedad del higado, no especificada
K77,Trastornos del higado en enfermedades clasificadas en otra parte
K770,Trastornos del higado en enfermedades infecciosas y parasitarias clasificadas en otra parte
K778,Trastorno del higado en otras enfermedades clasificadas en otra parte
K80,Colelitiasis
K800,Calculo de la vesicula biliar con colecistitis aguda
K801,Calculo de la vesicula biliar con otra colecistitis
K802,Calculo de la vesicula biliar sin colecistitis
K803,Calculo de conducto biliar con colangitis
K804,Calculo de conducto biliar con colecistitis
K805,Calculo de conducto biliar sin colangitis ni colecistitis
K808,Otras colelitiasis
K81,Colecistitis
K810,Colecistitis aguda
K811,Colecistitis cronica
K818,Otras colecistitis
K819,Colecistitis, no especificada
K82,Otras enfermedades de la vesicula biliar
K820,Obstruccion de la vesicula biliar
K821,Hidropesia de la vesicula biliar
K822,Perforacion de la vesicula biliar
K823,Fistula de la vesicula biliar
K824,Colesterolosis de la vesicula biliar
K828,Otras enfermedades especificadas de la vesicula biliar
K829,Enfermedad de la vesicula biliar, no especificada
K83,Otras enfermedades de las vias biliares
K830,Colangitis
K831,Obstruccion del conducto biliar
K832,Perforacion del conducto biliar
K833,Fistula del conducto biliar
K834,Espasmo del esfinter de oddi
K835,Quiste biliar
K838,Otras enfermedades especializadas de las vias biliares
K839,Enfermedad de las vias biliares, no especificada
K85,Pancreatitis aguda
K86,Otras enfermedades del pancreas
K860,Pancreatitis cronica inducida por el alcohol
K861,Otras pancreatitis cronicas
K862,Quiste del pancreas
K863,Seudoquiste del pancreas
K868,Otras enfermedades especificadas del pancreas
K869,Enfermedad del pancreas, no especificada
K87,Trastornos de la vesicula biliar, de las vias biliares y del pancreas en enfermedades clasificadas en otra parte
K870,Trastornos de la vesicula biliar y de las vias biliares en enfermedades clasificadas en otra parte
K871,Trastornos del pancreas en enfermedades clasificadas en otra parte
K90,Malabsorcion intestinal
K900,Enfermedad celiaca
K901,Esprue tropical
K902,Sindrome del asa ciega, no clasificado en otra parte
K903,Esteatorrea pancreatica
K904,Malabsorcion debida a intolerancia, no clasificada en otra parte
K908,Otros tipos de malabsorcion intestinal
K909,Malabsorcion intestinal, no especificada
K91,Trastornos del sistema digestivo, consecutivos a procedimientos, no clasificados en otra parte
K910,Vomito postcirugia gastrointestinal
K911,Sindromes consecutivos a la cirugia gastrica
K912,Malabsorcion postquirurgica, no clasificada en otra parte
K913,Obstrucion intestinal postoperatoria
K914,Disfuncion de colostomia o enterostomia
K915,Sindrome postcolecistectomia
K918,Otros trastornos del sistema digestivo consecutivos a procedimientos, no clasificados en otra parte
K919,Trastorno no especificado al sistema digestivo consecutivo a procedimientos
K92,Otras enfermedades del sistema digestivo
K920,Hematemesis
K921,Melena
K922,Hemorragia gastrointestinal, no especificada
K928,Otras enfermedades especificadas del sistema digestivo
K929,Enfermedad del sistema digestivo, no especificada
