codigo;descripcion;campo;;
E30;Trastornos de la pubertad no clasificadas en otra parte;;;
E300;Pubertad retardada;;;
E301;Pubertad precoz;;;
E308;Otros trastornos de la pubertad;;;
E309;Trastorno de la pubertad; no especificado;;
E31;Disfuncion poliglandular;;;
E310;Insuficiencia piloglandular autoinmune;;;
E311;Hiperfuncion poliglandular;;;
E318;Otras disfunciones poliglandulares;;;
E319;Disfuncion poliglandular; no especificada;;
E32;Enfermedades del timo;;;
E320;Hiperplasia persistente del timo;;;
E321;Absceso del timo;;;
E328;Otras enfermedades del timo;;;
E329;Enfermedad del timo; no especificada;;
E34;Otros trastornos endocrinos;;;
E340;Sindrome carcinoide;;;
E341;Otras hipersecreciones de hormonas intestinales;;;
E342;Secrecion hormonal ectopica; no clasificada en otra parte;;
E343;Enanismo; no clasificado en otra parte;;
E344;Estatura alta constitucional;;;
E345;Sindrome de resistencia androgenica;;;
E348;Otros trastornos endocrinos especificados;;;
E349;Trastorno endocrino; no especificado;;
E35;Trastornos endocrinos en enfermedades clasificados en otra parte;;;
E350;Trastornos de la glandula tiroides en enfermedades clasificadas en otra parte;;;
E351;Trastornos de la glandulas suprarrenales en enfermedades clasificadas en otra parte;;;
E358;Trastornos de otras glandulas endocrinas en enfermedades clasificadas en otra parte;;;
E40;Kwashiorkor;;;
E41;Marasmo nutricional;;;
E42;Kwashiorkor marasmatico;;;
E43;Desnutricion protcalorica severa no especificada;;;
E44;Desnutricion protcalorica de grado moderado y leve;;;
E440;Desnutricion proteicocalorica moderada;;;
E441;Desnutricion proteicocalorica leve;;;
E45;Retardo del desarrollo debidas a desnutricion protcalorico;;;
E46;Desnutricion protcalorica no especificada;;;
E50;Deficiencia de vitamina a;;;
E500;Deficiencia de vitamina a con xerosis conjuntival;;;
E501;Deficiencia de vitamina a con mancha de bitot y xerosis conjuntival;;;
E502;Deficiencia de vitamina a con xerosis corneal;;;
E503;Deficiencia de vitamina a con ulceracion corneal y xerosis;;;
E504;Deficiencia de vitamina a con queratomalacia;;;
E505;Deficiencia de vitamina a con ceguera nocturna;;;
E506;Deficiencia de vitamina a con cicatrices xeroftalmicas de la cornea;;;
E507;Otras manifestaciones oculares de deficiencia de vitamina a;;;
E508;Otras manifestaciones de deficiencia de vitamina a;;;
E509;Deficiencia de vitamina a; no especificada;;
E51;Deficiencia de tiamina;;;
E511;Beriberi;;;
E512;Encefalopatia de wernicke;;;
E518;Otras manifestaciones de la deficiencia de tiamina;;;
E519;Deficiencia de tiamina; no especificada;;
E52;Deficiencia de niacina;;;
E53;Deficiencia de otras vitaminas del grupo b;;;
E530;Deficiencia de riboflavina;;;
E531;Deficiencia de piridoxina;;;
E538;Deficiencia de otras vitaminas del grupo b;;;
E539;Deficiencia de vitamina b; no especificada;;
E54;Deficiencia de acido ascorbico;;;
E55;Deficiencia de vitamina d;;;
E550;Raquitismo activo;;;
E559;Deficiencia de vitamina d; no especificada;;
E56;Otras deficiencias de vitaminas;;;
E560;Deficiencia de vitamina e;;;
E561;Deficiencia de vitamina k;;;
E568;Deficiencia de otras vitaminas;;;
E569;Deficiencia de vitamina; no especificada;;
E58;Deficiencia dietetica de calcio;;;
E59;Deficiencia dietetica de selenio;;;
E60;Deficiencia dietetica de zinc;;;
E61;Deficiencia de otros elementos nutricionales;;;
E610;Deficiencia de cobre;;;
E611;Deficiencia de hierro;;;
E612;Deficiencia de magnesio;;;
E613;Deficiencia de manganeso;;;
E614;Deficiencia de cromo;;;
E615;Deficiencia de molibdeno;;;
E616;Deficiencia de vanadio;;;
E617;Deficiencia de multiples elementos nutricionales;;;
E618;Deficiencia de otros elementos nutricionales especificados;;;
E619;Deficiencia de otro elemento nutricional; no especificado;;
E63;Otras deficiencias nutricionales;;;
E630;Deficiencia de acidos grasos esenciales [age];;;
E631;Desequilibrio de los constituyentes en la dieta;;;
E638;Otras deficiencias nutricionales especificadas;;;
E639;Deficiencia nutricional; no especificada;;
E64;Secuelas de la desnutricion y otras deficiencias nutricionales;;;
E640;Secuelas de la desnutricion proteicocalorica;;;
E641;Secuelas de la deficiencia de vitamina a;;;
E642;Secuelas de la deficiencia de vitamina c;;;
E643;Secuelas del raquitismo;;;
E648;Secuelas de otras deficiencias nutricionales;;;
E649;Secuelas de la deficiencia nutricional no especificada;;;
E65;Adiposidad localizada;;;
E66;Obesidad;;;
E660;Obesidad debida a exceso de calorias;;;
E661;Obesidad inducida por drogas;;;
E662;Obesidad extrema con hipoventilacion alveolar;;;
E668;Otros tipos de obesidad;;;
E669;Obesidad; no especificada;;
E67;Otros tipos de hiperalimentacion;;;
E670;Hipervitaminosis a;;;
E671;Hipercarotinemia;;;
E672;Sindrome de megavitamina b6;;;
E673;Hipervitaminosis d;;;
E678;Otros tipos de hiperalimentacion especificados;;;
E68;Secuelas de hiperalimentacion;;;
E70;Trastornos del metabolismo de los aminoacidos aromaticos;;;
E700;Fenilcetonuria clasica;;;
E701;Otras hiperfenilalaninemias;;;
E702;Trastornos del metabolismo de la tirosina;;;
E703;Albinismo;;;
E708;Otros trastornos del metabolismo de los aminoacidos aromaticos;;;
E709;Trastorno del metabolismo de los aminoacidos aromaticos; no especificado;;
E71;Trastornos del metabolismo de los aminoacidos de cadena ramificada y de los acidos grasos;;;
E710;Enfermedad de la orina en jarabe de arce;;;
E711;Otros trastornos del metabolismo de los aminoacidos de cadena ramificada;;;
E712;Otros trastornos del metabolismo de los aminoacidos de cadena ramificada; no especificados;;
E713;Trastornos del metabolismo de los acidos grasos;;;
E72;Otros trastornos del metabolismo de los aminoacidos;;;
E720;Trastornos del transporte de los aminoacidos;;;
E721;Trastorno del metabolismo de los aminoacidos azufrados;;;
E722;Trastornos del metabolismo del ciclo de la urea;;;
E723;Trastornos del metabolismo de la lisina y la hidroxilisina;;;
E724;Trastorno del metabolismo de la ornitina;;;
E725;Trastorno del metabolismo de la glicina;;;
E728;Otros trastornos especificados del metabolismo de los aminoacidos;;;
E729;Trastorno del metabolismo de los aminoacidos; no especificado;;
E73;Intolerancia a la lactosa;;;
E730;Deficiencia congenita de lactasa;;;
E731;Deficiencia secundaria de lactasa;;;
E738;Otros tipos de intolerancia a la lactosa;;;
E739;Intolerancia a la lactosa; no especificada;;
E74;Otros trastornos del metabolismo de los carbohidratos;;;
E740;Enfermedad del almacenamiento de glucogeno;;;
E741;Trastornos del metabolismo de la fructosa;;;
E742;Trastorno del metabolismo de la galactosa;;;
E743;Otros trastornos de la absorcion intestinal de carbohidratos;;;
E744;Trastornos del metabolismo del piruvato y de las gluconeogenesis;;;
E748;Otros trastornos especificados del metabolismo de los carbohidratos;;;
E749;Trastorno del metabolismo de los carbohidratos; no especificado;;
E75;Trastornos del metabolismo de los esfingolipidos y otros trastornos por almacenamiento de lipidos;;;
E750;Gangliosidosis gm2;;;
E751;Otras gangliosidosis;;;
E752;Otras esfingolipidosis;;;
E753;Esfingolipidosis; no especificada;;
E754;Lipofuscinosis ceroide neuronal;;;
E755;Otros trastornos del almacenamiento de lipidos;;;
E756;Trastornos de almacenamiento de lipidos; no especificado;;
E76;Trastornos del metabolismo de los glucosaminoglicanos;;;
E760;Mucopolisacaridosis tipo i;;;
E761;Mucopolisacaridosis tipo ii;;;
E762;Otras mucopolisacaridosis;;;
E763;Mucopolisacaridosis no especificada;;;
E768;Otro trastornos del metabolismo de los glucosaminoglicanos;;;
E769;Trastorno del metabolismo de los glucosaminoglicanos; no especificado;;
E77;Trastornos del metabolismo de las glucoproteinas;;;
E770;Defectos en la modificacion postraslacional de enzimas lisosomales;;;
E771;Defectos de la degradacion de glucoproteinas;;;
E778;Otros trastornos del metabolismo de las glucoproteinas;;;
E779;Trastorno del metabolismo de las glucoproteinas; no especificado;;
E78;Trastornosdel metabolismo de las lipoproteinas y otras lipidemias;;;
E780;Hipercolesterolemia pura;;;
E781;Hipergliceridemia pura;;;
E782;Hiperlipidemia mixta;;;
E783;Hiperquilomicronemia;;;
E784;Otra hiperlipidemia;;;
E785;Hiperlipidemia no especificada;;;
E786;Deficiencia de lipoproteinas;;;
E788;Otros trastornos del metabolismo de las lipoproteinas;;;
E789;Trastorno del metabolismo de las lipoproteinas; no especificado;;
E79;Trastornos del metabolismo de las purinas y de las pirimidinas;;;
E790;Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofacea;;;
E791;Sindrome de lesch;;;
E798;Otros trastornos del metabolismo de las purinas y de las pirimidinas;;;
E799;Trastornos del metabolismo de las purinas y de las pirimidinas; no especificado;;
E80;Trastornos del metabolismo de las porfirinas y de la bilirrubina;;;
E800;Porfiria eritropoyetica hereditaria;;;
E801;Porfiria cutanea tardia;;;
E802;Otras porfirias;;;
E803;Defectos de catalasa y peroxidasa;;;
E804;Sindrome de gilbert;;;
E805;Sindrome de crigler;;;
E806;Otros trastornos del metabolismo de la bilirrubina;;;
E807;Trastornos del metabolismo de la bilirrubina; no especificado;;
E83;Trastornos del metabolismo de los minerales;;;
E830;Trastornos del metabolismo del cobre;;;
E831;Trastornos del metabolismo del hierro;;;
E832;Trastornos del metabolismo del zinc;;;
E833;Trastornos del metabolismo del fosforo;;;
E834;Trastornos del metabolismo del magnesio;;;
E835;Trastornos del metabolismo del calcio;;;
E838;Otros trastornos del metabolismo de los minerales;;;
E839;Trastorno del metabolismo de los minerales; no especificado;;
E84;Fibrosis quistica;;;
E840;Fibrosis quistica con manifestaciones pulmonares;;;
E841;Fibrosis quistica con manifestaciones intestinales;;;
E848;Fibrosis quistica con otras manifestaciones;;;
E849;Fibrosis quistica; sin otra especificacion;;
E85;Amiloidosis;;;
E850;Amiloidosis heredofamiliar no neuropatica;;;
E851;Amiloidosis heredofamiliar neuropatica;;;
E852;Amiloidosis heredofamiliar; no especificada;;
E853;Amiloidosis sistemica secundaria;;;
E854;Amiloidosis limitada a un organo;;;
E858;Otras amiloidosis;;;
E859;Amiloidosis; no especificada;;
E86;Deplecion del volumen;;;
E87;Otros trastornos de los liquidos; de los electrolitos y del equilibrio acido;;
E870;Hiperosmolaridad e hipernatremia;;;
E871;Hiposmolaridad e hipernatremia;;;
E872;Acidosis;;;
E873;Alcalosis;;;
E874;Trastornos mixtos del balance acido;;;
E875;Hiperpotasemia;;;
E876;Hipopotasmia;;;
E877;Sobrecarga de liquidos;;;
E878;Otros trastornos del equilibrio de los electrolitos y de los liquidos; no clasificados en otra parte;;
E88;Otros trastornos metabolicos;;;
E880;Trastornos del metabolismo de las proteinas plasmaticas; no clasificados en otra parte;;
E881;Lipodistrofia; no clasificada en otra parte;;
E882;Lipomatosis; no clasificada en otra parte;;
E888;Otros trastornos especificados del metabolismo;;;
E889;Trastorno metabolico; no especificado;;
E89;Trastornos endocrinos metabolicos consecutivos a procedimientos no clasificados en otra parte;;;
E890;Hipotiroidismo consecutivo a procedimientos;;;
E891;Hipoinsulinemia consecutiva a procedimientos;;;
E892;Hipoparatiroidismo consecutivo a procedimientos;;;
E893;Hipopituitarismo consecutivo a procedimientos;;;
E894;Insuficiencia ovarica consecutiva a procedimientos;;;
E895;Hipofuncion testicular consecutiva a procedimientos;;;
E896;Hipofuncion adrenocortical [medula suprarrenal] consecutiva a procedimientos;;;
E898;Otros trastornos metabolicos y endocrinos consecutivo a procedimientos;;;
E899;Trastorno endocrino y metabolico consecutivo a procedimientos; no especificado;;
E90;Trastornos nutricionales metabolicos en enfermedades clasificadas en otra parte;;;
F00;Demencia en la enfermedad de alzheimer;;;
F000;Demencia en la enfermedad de alzheimer; de comienzo temprano (g30.0);;
F001;Demencia en la enfermedad de alzheimer; de comienzo tardio (g30.1);;
F002;Demencia en la enfermedad de alzheimer; atipica o de tipo mixto (g30.8);;
F009;Demencia en la enfermedad de alzheimer; no especificada (g30.9);;
F01;Demencia vascular;;;
F010;Demencia vascular de comienzo agudo;;;
F011;Demencia vascular por infartos multiples;;;
F012;Demencia vascular subcortical;;;
F013;Demencia vascular mixta; cortical y subcortical;;
F018;Otras demencias vasculares;;;
F019;Demencia vascular; no especificada;;
F02;Demencia en otras enfermedades clasificadas otra parte;;;
F020;Demencia en la enfermedad de pick (g31.0);;;
F021;Demencia en la enfermedad de creutzfeldt;;;
F022;Demencia en la enfermedad de huntington (g10);;;
F023;Demencia en la enfermedad de parkinson (g20);;;
F024;Demencia en la enfermedad por virus de la inmunodeficiencia humana [vih] (b22.0);;;
F028;Demencia en otras enfermedades especificadas clasificadas en otra parte;;;
F03;Demencia no especificada;;;
F04;Sindrome amnesico organico; no inducido por el alcohol o por otras sustancias psicoactivas;;
F05;Delirio; no inducido por el alcohol o por otras sustancias psicoactivas;;
F050;Delirio no superpuesto a un cuadro de demencia; asi descrito;;
F051;Delirio superpuesto a un cuadro de demencia;;;
F058;Otros delirios;;;
F059;Delirio; no especificado;;
F06;Otros trastornos mentales debidos a lesion y disfuncion cerebral; y a enfermedad fisica;;
F060;Alucinosis organica;;;
F061;Trastorno catatonico; organico;;
F062;Trastorno delirante [esquizofreniforme]; organico;;
F063;Trastornos del humor [afectivos]; organicos;;
F064;Trastorno de ansiedad; organico;;
F065;Trastorno disociativo; organico;;
F066;Trastorno de labilidad emocional [astenico]; organico;;
F067;Trastorno cognoscitivo leve;;;
F068;Otros trastornos mentales especificados debidos a lesion y disfuncion cerebral y a enfermedad fisica;;;
F069;Trastorno mental no especificado debido a lesion y disfuncion cerebral y a enfermedad fisica;;;
F07;Trastornos de la personalidad y del comportamiento debidos a enfermedad; lesion o disfuncion cerebral;;
F070;Trastorno de la personalidad; organico;;
F071;Sindrome postencefalitico;;;
F072;Sindrome postconcusional;;;
F078;Otros trastornos organicos de la personalidad y del comportamiento debidos a enfermedad; lesion y disfuncion cerebrales;;
F079;Trastorno organico de la personalidad y del comportamiento; no especificado; debido a enfermedad; lesion y disfuncion cerebral
F09;Trastorno mental organico o sintomatico; no especificado;;
F10;Trastornos mentales y del comportamiento debidos al uso del alcohol;;;
F100;Trastornos mentales y del comportamiento debidos al uso del alcohol: intoxicacion aguda;;;
F101;Trastornos mentales y del comportamiento debidos al uso del alcohol: uso nocivo;;;
F102;Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia;;;
F103;Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia;;;
F104;Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia con delirio;;;
F105;Trastornos mentales y del comportamiento debidos al uso del alcohol: trastorno psicotico;;;
F106;Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome amnesico;;;
F107;Trastornos mentales y del comportamiento debidos al uso del alcohol: trastorno psicotico residual y de comienzo tardio;;;
F108;Trastornos mentales y del comportamiento debidos al uso del alcohol: otros trastornos mentales y del comportamiento;;;
F109;Trastornos mentales y del comportamiento debidos al uso del alcohol: trastorno mental y del comportamiento; no especificado;;
F11;Trastornos mentales y del comportamiento debidos al uso de opiaceos;;;
F110;Trastornos mentales y del comportamiento debidos al uso de opiaceos: intoxicacion aguda;;;
F111;Trastornos mentales y del comportamiento debidos al uso de opiaceos: uso nocivo;;;
F112;Trastornos mentales y del comportamiento debidos al uso de opiaceos: sindrome de dependencia;;;
F113;Trastornos mentales y del comportamiento debidos al uso de opiaceos: estado de abstinencia;;;
F114;Trastornos mentales y del comportamiento debidos al uso de opiaceos: estado de abstinencia con delirio;;;
F115;Trastornos mentales y del comportamiento debidos al uso de opiaceos: trastorno psicotico;;;
F116;Trastornos mentales y del comportamiento debidos al uso de opiaceos: sindrome amnesico;;;
F117;Trastornos mentales y del comportamiento debidos al uso de opiaceos: trastorno psicotico residual y de comienzo tardio;;;
F118;Trastornos mentales y del comportamiento debidos al uso de opiaceos: otros trastornos mentales y del comportamiento;;;
F119;Trastornos mentales y del comportamiento debidos al uso de opiaceos: trastorno mental y del comportamiento; no especificado;;
F12;Trastornos mentales y del comportamiento debidos al uso de cannabinoides;;;
F120;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: intoxicacion aguda;;;
F121;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: uso nocivo;;;
F122;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: sindrome de dependencia;;;
F123;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: estado de abstinencia;;;
F124;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: estado de abstinencia con delirio;;;
F125;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: trastorno psicotico;;;
F126;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: sindrome amnesico;;;
F127;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: trastorno psicotico residual y de comienzo tardio;;;
F128;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: otros trastornos mentales y del comportamiento;;;
F129;Trastornos mentales y del comportamiento debidos al uso de cannabinoides: trastorno mental y del comportamiento; no especificado;;
F13;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos;;;
F130;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: intoxicacion aguda;;;
F131;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: uso nocivo;;;
F132;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: sindrome de dependencia;;;
F133;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: estado de abstinencia;;;
F134;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: estado de abstinencia con delirio;;;
F135;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: trastorno psicotico;;;
F136;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: sindrome amnesico;;;
F137;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: trastorno psicotico residual y de comienzo tardio;;;
F138;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: otros trastornos mentales y del comportamiento;;;
F139;Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: trastorno mental y del comportamiento; no especificado;;
F14;Trastornos mentales y del comportamiento debidos al uso de cocaina;;;
F140;Trastornos mentales y del comportamiento debidos al uso de cocaina: intoxicacion aguda;;;
F141;Trastornos mentales y del comportamiento debidos al uso de cocaina: uso nocivo;;;
F142;Trastornos mentales y del comportamiento debidos al uso de cocaina: sindrome de dependencia;;;
F143;Trastornos mentales y del comportamiento debidos al uso de cocaina: estado de abstinencia;;;
F144;Trastornos mentales y del comportamiento debidos al uso de cocaina: estado de abstinencia con delirio;;;
F145;Trastornos mentales y del comportamiento debidos al uso de cocaina: trastorno psicotico;;;
F146;Trastornos mentales y del comportamiento debidos al uso de cocaina: sindrome amnesico;;;
F147;Trastornos mentales y del comportamiento debidos al uso de cocaina: trastorno psicotico residual y de comienzo tardio;;;
F148;Trastornos mentales y del comportamiento debidos al uso de cocaina: otros trastornos mentales y del comportamiento;;;
F149;Trastornos mentales y del comportamiento debidos al uso de cocaina: trastorno mental y del comportamiento; no especificado;;
F15;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes;;;
F150;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: intoxicacion aguda;;
F151;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: uso nocivo;;
F152;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: sindrome de dependencia;;
F153;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: estado de abstinencia;;
F154;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina:. estado de abstinencia con delirio;;
F155;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: trastorno psicotico;;
F156;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: sindrome amnesico;;
F157;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: trastorno psicotico residual y de comienzo tardio;;
F158;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: otros trastornos mentales y del comportamiento;;
F159;Trastornos mentales y del comportamiento debidos al uso de otros estimulantes; incluida la cafeina: trastorno mental y del comportamiento; no especificado;
F16;Trastornos mentales y del comportamiento debidos al uso de alucinogenos;;;
F160;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: intoxicacion aguda;;;
F161;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: uso nocivo;;;
F162;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: sindrome de dependencia;;;
F163;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: estado de abstinencia;;;
F164;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: estado de abstinencia con delirio;;;
F165;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: trastorno psicotico;;;
F166;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: sindrome amnesico;;;
F167;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: trastorno psicotico residual y de comienzo tardio;;;
F168;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: otros trastornos mentales y del comportamiento;;;
F169;Trastornos mentales y del comportamiento debidos al uso de alucinogenos: trastorno mental y del comportamiento; no especificado;;
F17;Trastornos mentales y del comportamiento debidos al uso del tabaco;;;
F170;Trastornos mentales y del comportamiento debidos al uso de tabaco: intoxicacion aguda;;;
F171;Trastornos mentales y del comportamiento debidos al uso de tabaco: uso nocivo;;;
F172;Trastornos mentales y del comportamiento debidos al uso de tabaco: sindrome de dependencia;;;
F173;Trastornos mentales y del comportamiento debidos al uso de tabaco: estado de abstinencia;;;
F174;Trastornos mentales y del comportamiento debidos al uso de tabaco: estado de abstinencia con delirio;;;
F175;Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno psicotico;;;
F176;Trastornos mentales y del comportamiento debidos al uso de tabaco: sindrome amnesico;;;
F177;Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno psicotico residual y de comienzo tardio;;;
F178;Trastornos mentales y del comportamiento debidos al uso de tabaco: otros trastornos mentales y del comportamiento;;;
F179;Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno mental y del comportamiento; no especificado;;
F18;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles;;;
F180;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: intoxicacion aguda;;;
F181;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: uso nocivo;;;
F182;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: sindrome de dependencia;;;
F183;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: estado de abstinencia;;;
F184;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: estado de abstinencia con delirio;;;
F185;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno psicotico;;;
F186;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: sindrome amnesico;;;
F187;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno psicotico residual y de comienzo tardio;;;
F188;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: otros trastornos mentales y del comportamiento;;;
F189;Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno mental y del comportamiento; no especificado;;
F19;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas;;;
F190;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: intoxicacion aguda;;;
F191;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: uso nocivo;;;
F192;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome de dependencia;;;
F193;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: estado de abstinencia;;;
F194;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: estado de abstinencia con delirio;;;
F195;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno psicotico;;;
F196;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome amnesico;;;
F197;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno psicotico residual y de comienzo tardio;;;
F198;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: otros trastornos mentales y del comportamiento;;;
F199;Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno mental y del comportamiento; no especificado;;
F20;Esquizofrenia;;;
F200;Esquizofrenia paranoide;;;
F201;Esquizofrenia hebefrenica;;;
F202;Esquizofrenia catatonica;;;
F203;Esquizofrenia indiferenciada;;;
F204;Depresion postesquizofrenica;;;
F205;Esquizofrenia residual;;;
F206;Esquizofrenia simple;;;
F208;Otras esquizofrenias;;;
F209;Esquizofrenia; no especificada;;
F21;Trastorno esquizotipico;;;
F22;Trastornos delirantes persistentes;;;
F220;Trastorno delirante;;;
F228;Otros trastornos delirantes persistentes;;;
F229;Trastorno delirante persistente; no especificado;;
F23;Trastornos psicoticos agudos y transitorios;;;
F230;Trastorno psicotico agudo polimorfo; sin sintomas de esquizofrenia;;
F231;Trastorno psicotico agudo polimorfo; con sintomas de esquizofrenia;;
F232;Trastorno psicotico agudo de tipo esquizofrenico;;;
F233;Otro trastorno psicotico agudo; con predominio de ideas delirantes;;
F238;Otros trastornos psicoticos agudos y transitorios;;;
F239;Trastorno psicotico agudo y transitorio; no especificado de tipo esquizofrenico;;
F24;Trastorno delirante inducido;;;
F25;Trastornos esquizoafectanivos;;;
F250;Trastorno esquizoafectivo de tipo maniaco;;;
F251;Trastorno esquizoafectivo de tipo depresivo;;;
F252;Trastorno esquizoafectivo de tipo mixto;;;
F258;Otros trastornos esquizoafectivos;;;
F259;Trastorno esquizoafectivo; no especificado;;
F28;Otros trastornos psicoticos de origen no organico;;;
F29;Psicosis de origen no organico; no especificada;;
F30;Episodio maniaco;;;
F300;Hpomania;;;
F301;Mania sin sintomas psicoticos;;;
F302;Mania con sintomas psicoticos;;;
F308;Otros episodios maniacos;;;
F309;Episodio maniaco; no especificado;;
F31;Trastorno afectanivo bipolar;;;
F310;Trastorno afectivo bipolar; episodio hipomaniaco presente;;
F311;Trastorno afectivo bipolar; episodio maniaco presente sin sintomas psicoticos;;
F312;Trastorno afectivo bipolar; episodio maniaco presente con sintomas psicoticos;;
F313;Trastorno afectivo bipolar; episodio depresivo presente leve o moderado;;
F314;Trastorno afectivo bipolar; episodio depresivo grave presente sin sintomas psicoticos;;
F315;Trastorno afectivo bipolar; episodio depresivo grave presente con sintomas psicoticos;;
F316;Trastorno afectivo bipolar; episodio mixto presente;;
F317;Trastorno afectivo bipolar; actualmente en remision;;
F318;Otros trastornos afectivos bipolares;;;
F319;Trastorno afectivo bipolar; no especificado;;
F32;Episodio depresivo;;;
F320;Episodio depresivo leve;;;
F321;Episodio depresivo moderado;;;
F322;Episodio depresivo grave sin sintomas psicoticos;;;
F323;Episodio depresivo grave con sintomas psicoticos;;;
F328;Otros episodios depresivos;;;
F329;Episodio depresivo; no especificado;;
F33;Trastorno depresivo recurrente;;;
F330;Trastorno depresivo recurrente; episodio leve presente;;
F331;Trastorno depresivo recurrente; episodio moderado presente;;
F332;Trastorno depresivo recurrente; episodio depresivo grave presente sin sintomas psicoticos;;
F333;Trastorno depresivo recurrente; episodio depresivo grave presente; con sintomas psicoticos;
F334;Trastorno depresivo recurrente actualmente en remision;;;
F338;Otros trastornos depresivos recurrentes;;;
F339;Trastorno depresivo recurrente; no especificado;;
F34;Trastornos del humor [ afectivos ] persistentes;;;
F340;Ciclotimia;;;
F341;Distimia;;;
F348;Otros trastornos del humor [afectivos] persistentes;;;
F349;Trastorno persistente del humor [afectivo]; no especificado;;
F38;Otros trastornos del humor [ afectivos ];;;
