codigo,descripcion,campo
A00,Colera
B463,Mucormicosis cutanea
B464,Mucormicosis diseminada
B465,Mucormicosis, sin otra especificacion
B468,Otras cigomicosis
B469,Cigomicosis, no especificada
B47,Micetoma
B470,Eumicetoma
B471,Actinomicetoma
B479,Micetoma, no especificado
B48,Otras micosis, no clasificadas en otra parte
B480,Lobomicosis
B481,Rinosporidiosis
B482,Alesqueriasis
B483,Geotricosis
B484,Penicilosis
B487,Micosis oportunistas
B488,Otras micosis especificadas
B49,Micosis, no especificada
B50,Paludismo [malaria] debido a Plasmodium falciparum
B500,Paludismo debido a plasmodium falciparum con complicaciones cerebrales
B508,Otro paludismo grave y complicado debido a plasmodium falciparum
B509,Paludismo debido a plasmodium falciparum, sin otra especificacion
B51,Paludismo [malaria] debido a Plasmodium vivax
B510,Paludismo debido a plasmodium vivax con ruptura esplenica
B518,Paludismo debido a plasmodium vivax con otras complicaciones
B519,Paludismo debido a plasmodium vivax, sin complicaciones
B52,Paludismo (malaria) debido a Plasmodium malariae
B520,Paludismo debido a plasmodium malariae con nefropatia
B528,Paludismo debido a plasmodium malariae con otras complicaciones
B529,Paludismo debido a plasmodium malariae, sin complicaciones
B53,Otro paludismo [malaria] confirmado parasitologicamente
B530,Paludismo debido a plasmodium avale
B531,Paludismo debido a plasmodios de los simios
B538,Otro paludismo confirmado parasitologicamente, no clasificado en otra parte
B54,Paludismo [malaria] no especificado
B55,Leishmaniasis
B550,Leiishmaniasis visceral
B551,Leishmaniasis cutanea
B552,Leishmaniasis mucocutanea
B559,Leishmaniasis, no especificada
B56,Tripanosomiasis africana
B560,Tripanosomiasis gambiense
B561,Tripanosomiasis rhodesiense
B569,Tripanosomiasis africana, sin otra especificacion
B57,Enfermedad de Chagas
B570,Enfermedad de chagas aguda que afecta al corazon (141.2, 198.1)
B571,Enfermedad de chagas aguda que no afecta al corazon
B572,Enfermedad de chagas (cronica) que afecta al corazon
B573,Enfermedad de chagas (cronica) que afecta al sistema digestivo
B574,Enfermedad de chagas (cronica) que afecta al sistema nervioso
B575,Enfermedad de chagas (cronica) que afecta otros organos
B58,Toxoplasmosis
B580,Oculopatia debida a toxoplasma
B581,Hepatitis debida a toxoplasma (k77.0)
B582,Meningoencefalitis debida a toxoplasma (g05.2)
B583,Toxoplasmosis pulmonar (j17.3)
B588,Toxoplasmosis con otro organo afectado
B589,Toxoplasmosis, no especificada
B59,Neumocistosis (j17.3)
B60,Otras enfermedades debidas a protozoarios, no clasificadas en otra parte
B600,Babesiosis
B601,Acantamebiasis
B602,Naegleriasis
B608,Otras enfermedades especificadas debidas a protozarios
B64,Enfermedad debida a protozoarios, no especificada
B65,Esquistosomiasis [bilharziasis]
B650,Esquistosomiasis debida a schistosoma haematobium [esquistosomiasis urinaria]
B651,Esquistosomiasis debida a schistosoma mansoni [esquistosomiasis intestinal]
B652,Esquistosomiasis debida a schistosoma japonicum
B653,Dermatitis por cercarias
B658,Otras esquistosomiasis
B659,Esquistosomiasis, no especificada
B66,Otras infecciones debidas a trematodos
B660,Opistorquiasis
B661,Clonorquiasis
B662,Dicrocoeliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Otras infecciones especificadas debidas a trematodos
B669,Infeccion debida a trematodos, no especificada
B67,Esquinococosis
B670,Infeccion del higado debida a echinococcus granulosus
B671,Infeccion del pulmon debida a echinococcus granulosus
B672,Infeccion de hueso debida a echinococcus granulosus
B673,Infeccion de otro organo y de sitios multiples debida a echinococcus granulosus
B674,Infeccion debida a echinococcus granulosus, sin otra especificacion
B675,Infeccion del higado debida a echinococcus multilocularis
B676,Infeccion de otro organo y de sitios multiples debida a echinococcus multilocularis
B677,Infeccion debida a echinococcus multilocularis, sin otra especificacion
B678,Equinococosis del higado, no especificada
B679,Equinococosis, otra y la no especificada
B68,Teniasis
B680,Teniasis debida a taenia solium
B681,Infeccion debida a taenia saginata
B689,Teniasis, no especificada
B69,Cisticercosis
B690,Cisticercosis del sistema nervioso central
B691,Cisticercosis del ojo
B698,Cisticercosis de otros sitios
B699,Cisticercosis, no especificada
B70,Difilobotriasis y esparganosis
B700,Difilobotriasis intestinal
B701,Esparganosis
B71,Otras infecciones debidas a cestodos
B710,Himenolepiasis
B711,Dipilidiasis
B718,Otras infecciones debidas a cestodos especificadas
B719,Infeccion debida a cestodos, no especificada
B72,Dracontiasis
B73,Oncocercosis
B74,Filariasis
B740,Filariasis debida a wuchereria bancrofti
B741,Filariasis debida a brugia malayi
B742,Filariasis debida a brugia timori
B743,Loaiasis
B744,Mansoneliasis
B748,Otras filariasis
B749,Filariasis, no especificada
B75,Triquinosis
B76,Anquilostomiasis y necatoriasis
B760,Anquilostomiasis
B761,Necatoriasis
B768,Otras enfermedades debidas a anquilostomas
B769,Enfermedad debida a anquilostomas, no especificada
B77,Ascariasis
B770,Ascariasis con complicaciones intestinales
B778,Ascariasis con otras complicaciones
B779,Ascariasis, no especificada
B78,Estrongiloidiasis
B780,Estrongiloidiasis intestinal
B781,Estrongiloidiasis cutanea
B787,Estrongiloidiasis diseminada
B789,Estrongiloidiasis, no especificada
B79,Tricuriasis
B80,Enterobiasis
B81,Otras helmintiasis intestinales, no clasificadas en otra parte
B810,Anisaquiasis
B811,Capilariasis intestinal
B812,Tricoestrongiliasis
B813,Angioestrongiliasis intestinal
B814,Helmintiasis intestinal mixta
B818,Otras helmintiasis intestinales especificadas
B82,Parasitosis intestinal, sin otra especificacion
B820,Helmintiasis intestinal, sin otra especificacion
B829,Parasitosis intestinal, sin otra especificacion
B83,Otros helmintiasis
B830,Larva migrans visceral
B831,Gnatostomiasis
B832,Angioestrongiliasis debida a parastrongylus cantonensis
B833,Singamiasis
B834,Hirudiniasis interna
B838,Otras helmintiasis especificadas
B839,Helmintiasis, no especificada
B85,Pediculosis y phthiriasis
B850,Pediculosis debida a pediculus humanus capitis
B851,Pediculosis debida a pediculus humanus corporis
B852,Pediculosis, sin otra especificacion
B853,Phthiriasis
B854,Pediculosis y phthiriasis mixtas
B86,Escabiosis
B87,Miasis
B870,Miasis cutanea
B871,Miasis en heridas
B872,Miasis ocular
B873,Miasis nasofaringea
B874,Miasis aural
B878,Miasis de otros sitios
B879,Miasis, no especificada
B88,Otras infestaciones
B880,Otras acariasis
B881,Tungiasis [infeccion debida a pulga de arena]
B882,Otras infestaciones debidas a artropodos
B883,Hirudiniasis externa
B888,Otras infestaciones especificas
B889,Infestacion, no especificada
B89,Enfermedad parasitaria, no especificada
B90,Secuelas de tuberculosis
B900,Secuelas de tuberculosis del sistema nervioso central
B901,Secuelas de tuberculosis genitourinaria
B902,Secuelas de tuberculosis de huesos y articulaciones
B908,Secuelas de tuberculosis de otros organos especificados
B91,Secuelas de poliomielitis
B92,Secuelas de lepra
B94,Secuelas de otras enfermedades infecciosas y parasitarias de los no especificadas
B940,Secuelas de tracoma
B941,Secuelas de encefalitis viral
B942,Secuelas de hepatitis viral
B948,Secuelas de otras enfermedades infecciosas y parasitarias especificadas
B949,Secuelas de enfermedades infecciosas y parasitarias no especificadas
B95,Estreptococos y estafilococos como causa de enfermedades clasificadas en otros capitulos
B950,Estreptococo, grupo a, como causa de enfermedades clasificadas en otros capitulos
B951,Estreptococo, grupo b, como causa de enfermedades clasificadas en otros capitulos
B952,Estreptococo, grupo d, como causa de enfermedades clasificadas en otros capitulos
B953,Streptococcus pneumoniae como causa de enfermedades clasificadas en otros capitulos
B954,Otros streptococos como causa de enfermedades clasificadas en otros capitulos
B955,Estreptococo no especificado como causa de enfermedades clasificadas en otros capitulos
B956,Staphylococcus aureus como causa de enfermedades clasificadas en otros capitulos
B957,Otros estafilococos como causa de enfermedades clasificadas en otros capitulos
B958,Estafilococo no especificado, como causa de enfermedades clasificadas en otros capitulos
B96,Otros agentes bacterianos como causa de enfermedades clasificadas en otros capitulos
B960,Mycoplasma pneumoniae [m. pneumoniae] como causa de enfermedades clasificadas en otros capitulos
B961,Klebsiella pneumoniae [k. pneumoniae] como causa de enfermedades clasificadas en otros capitulos
B962,Escherichia coli [e. coli] como causa de enfermedades clasificadas en otros capitulos
B963,Haemophilus influenzae [h. influenzae] como causa de enfermedades clasificadas en otros capitulos
B964,Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas en otros capitulos
B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas en otros capitulos
B966,Bacillus fragilis [b. fragilis] como causa de enfermedades clasificadas en otros capitulos
B967,Clostridium perfringens [c. perfringens] como causa de enfermedades clasificadas en otros capitulos
B968,Otros agentes bacterianos especificados como causa de enfermedades clasificadas en otros capitulos
B97,Agentes virales como causa de enfermedades clasificadas en otros capitulos
B970,Adenovirus como causa de enfermedades clasificadas en otros capitulos
B971,Enterovirus como causa de enfermedades clasificadas en otros capitulos
B972,Coronavirus como causa de enfermedades clasificadas en otros capitulos
B973,Retrovirus como causa de enfermedades clasificadas en otros capitulos
B974,Virus sincicial respiratorio como causa de enfermedades clasificadas en otros capitulos
B975,Reovirus como causa de enfermedades clasificadas en otros capitulos
B976,Parvovirus como causa de enfermedades clasificadas en otros capitulos
B977,Papilomavirus como causa de enfermedades clasificadas en otros capitulos
B978,Otros agentes virales como causa de enfermedades clasificadas en otros capitulos
B99,Otras enfermedades infecciosas y las no especificadas
C00,Tumor maligno del labio
C000,Tumor maligno del labio superior, cara externa
C001,Tumor maligno del labio inferior, cara externa
C002,Tumor maligno del labio, cara externa, sin otra especificacion
C003,Tumor maligno del labio superior, cara interna
C004,Tumor maligno del labio inferior, cara interna
C005,Tumor maligno del labio, cara interna, sin otra especificacion
C006,Tumor maligno de la comisura labial
C008,Lesion de sitios contiguos del labio
C009,Tumor maligno del labio, parte no especificada
C01,Tumor maligno de la base de la lengua
C02,Tumor maligno de otras partes y de las no especificadas de la lengua
C020,Tumor maligno de la cara dorsal de la lengua
C021,Tumor maligno del borde de la lengua
C022,Tumor maligno de la cara ventral de la lengua
C023,Tumor maligno de los dos tercios anteriores de la lengua, parte no especificada
C024,Tumor maligno de la amigdala lingual
C028,Lesion de sitios contiguos de la lengua
C029,Tumor maligno de la lengua, parte no especificada
C03,Tumor maligno de la encia
C030,Tumor maligno de la encia superior
C031,Tumor maligno de la encia inferior
C039,Tumor maligno de la encia, parte no especificada
C04,Tumor maligno del piso de la boca
C040,Tumor maligno de la parte anterior del piso de la boca
C041,Tumor maligno de la parte lateral del piso de la boca
C048,Lesion de sitios contiguos del piso de la boca
C049,Tumor maligno del piso de la boca, parte no especificada
C05,Tumor maligno del paladar
C050,Tumor maligno del paladar duro
C051,Tumor maligno del paladar blando
C052,Tumor maligno de la uvula
C058,Lesion de sitios contiguos del paladar
C059,Tumor maligno del paladar, parte no especificada
C06,Tumor maligno de otras partes y de las no especificadas de la boca
C060,Tumor maligno de la mucosa de la mejilla
C061,Tumor maligno del vestibulo de la boca
C062,Tumor maligno del area retromolar
C068,Lesion de sitios contiguos de otras partes y de las no especificadas de la boca
C069,Tumor maligno de la boca, parte no especificada
C07,Tumor maligno de la glandula parotida
C08,Tumor maligno de otras glandulas salivales mayores y de las no especificadas
C080,Tumor maligno de la glandula submaxilar
C081,Tumor maligno de la glandula sublingual
C088,Lesion de sitios contiguos de las glandulas salivales mayores
C089,Tumor maligno de glandula salival mayor, no especificada
C09,Tumor maligno de la amigdala
C090,Tumor maligno de la fosa amigdalina
C091,Tumor maligno del pilar amigdalino (anterior) (posterior)
C098,Lesion de sitios contiguos de la amigdala
C099,Tumor maligno de la amigdala, parte no especificada
C10,Tumor maligno de la orofaringe
C100,Tumor maligno de la valecula
C101,Tumor maligno de la cara anterior de la epiglotis
C102,Tumor maligno de la pared lateral de la orofaringe
C103,Tumor maligno de la pared posterior de la orofaringe
C104,Tumor maligno de la hendidura branquial
C108,Lesion de sitios contiguos de la orofaringe
C109,Tumor maligno de la orofaringe, parte no especificada
C11,Tumor maligno de la nasofaringe
C110,Tumor maligno de la pared superior de la nasofaringe
C111,Tumor maligno de la pared posterior de la nasofaringe
C112,Tumor maligno de la pared lateral de la nasofaringe
C113,Tumor maligno de la pared anterior de la nasofaringe
C118,Lesion de sitios contiguos de la nasofaringe
C119,Tumor maligno de la nasofaringe, parte no especificada
C12,Tumor maligno del seno piriforme
C13,Tumor maligno de la hipofaringe
C130,Tumor maligno de la region postcricoidea
C131,Tumor maligno del pliegue aritenoepiglotico, cara hipofaringea
C132,Tumor maligno de la pared posterior de la hipofaringe
C138,Lesion de sitios contiguos de la hipofaringe
C139,Tumor maligno de la hipofaringe, parte no especificada
C14,Tumor maligno de otros sitios y de los mal definidos del labio, de la cavidad bucal y de la faringe
C140,Tumor maligno de la faringe, parte no especificada
C142,Tumor maligno del anillo de waldeyer
C148,Lesion de sitios contiguos del labio, de la cavidad bucal y de la laringe
C15,Tumor maligno del esofago
C150,Tumor maligno del esofago, porcion cervical
C151,Tumor maligno del esofago, porcion toracica
C152,Tumor maligno del esofago, porcion abdominal
C153,Tumor maligno del tercio superior del esofago
C154,Tumor maligno del tercio medio del esofago
C155,Tumor maligno del tercio inferior del esofago
C158,Lesion de sitios contiguos del esofago
C159,Tumor maligno del esofago, parte no especificada
C16,Tumor maligno del estomago
C160,Tumor maligno del cardias
C161,Tumor maligno del fundus gastrico
C162,Tumor maligno del cuerpo del estomago
C163,Tumor maligno del antro pilorico
C164,Tumor maligno del piloro
C165,Tumor maligno de la curvatura menor del estomago, sin otra especificacion
C166,Tumor maligno de la curvatura mayor del estomago, sin otra especificacion
C168,Lesion de sitios contiguos del estomago
C169,Tumor maligno del estomago, parte no especificada
C17,Tumor maligno del intestino delgado
C170,Tumor maligno del duodeno
C171,Tumor maligno del yeyuno
C172,Tumor maligno del ileon
C173,Tumor maligno del diverticulo de meckel
C178,Tumor maligno del lesion de sitios contiguos del intestino delgado
C179,Tumor maligno del intestino delgado, parte no especificada
C18,Tumor maligno del colon
C180,Tumor maligno del ciego
C181,Tumor maligno del apendice
C182,Tumor maligno del colon ascendente
C183,Tumor maligno del angulo hepatico
C184,Tumor maligno del colon transverso
C185,Tumor maligno del angulo esplenico
C186,Tumor maligno del colon descendente
C187,Tumor maligno del colon sigmoide
C188,Lesion de sitios contiguos del colon
C189,Tumor maligno del colon, parte no especificada
C19,Tumor maligno de la union rectosigmoidea
C20,Tumor maligno del recto
C21,Tumor maligno del ano y del conducto anal
C210,Tumor maligno del ano, parte no especificada
C211,Tumor maligno del conducto anal
C212,Tumor maligno de la zona cloacogenica
C218,Lesion de sitios contiguos del ano, del conducto anal y del recto
C22,Tumor maligno del higado y de las vias biliares intrahepaticas
C220,Carcinoma de celulas hepaticas
C221,Carcinoma de vias biliares intrahepaticas
C222,Hepatoblastoma
C223,Angiosarcoma del higado
C224,Otros sarcomas del higado
C227,Otros carcinomas especificados del higado
C229,Tumor maligno del higado, no especificado
C23,Tumor maligno de la vesicula biliar
C24,Tumor maligno de otras partes y de las no especificadas de las vias biliares
C240,Tumor maligno d e las vias biliares extrahepaticas
C241,Tumor maligno de la ampolla de vater
C248,Lesion de sitios contiguos de las vias biliares
C249,Tumor maligno de las vias biliares, parte no especificada
C25,Tumor maligno del pancreas
C250,Tumor maligno de la cabeza del pancreas
C251,Tumor maligno del cuerpo del pancreas
C252,Tumor maligno de la cola del pancreas
C253,Tumor maligno del conducto pancreatico
C254,Tumor maligno del pancreas endocrino
C257,Tumor maligno de otras partes especificadas del pancreas
C258,Lesion de sitios contiguos del pancreas
C259,Tumor maligno del pancreas, parte no especificada
C26,Tumor maligno de otros sitios y de los mal definidos de los organos digestivos
C260,Tumor maligno del intestino, parte no especificada
C261,Tumor maligno del bazo
C268,Lesion de sitios contiguos de los organos digestivos
C269,Tumor maligno de sitios mal definidos de los organos digestivos
C30,Tumor maligno de las fosas nasales y del oido medio
C300,Tumor maligno de la fosa nasal
C301,Tumor maligno del oido medio
C31,Tumor maligno de los senos paranasales
C310,Tumor maligno del seno maxilar
C311,Tumor maligno del seno etmoidal
C312,Tumor maligno del seno frontal
C313,Tumor maligno del seno esfenoidal
C318,Lesion de sitios contiguos de los senos paranasales
C319,Tumor maligno del seno paranasal no especificado
C32,Tumor maligno de la laringe
C320,Tumor maligno de la glotis
C321,Tumor maligno de la region supraglotica
C322,Tumor maligno de la region subglotica
C323,Tumor maligno del cartilago laringeo
C328,Lesion de sitios contiguos de la laringe
C329,Tumor maligno de la laringe, parte no especificada
C33,Tumor maligno de la traquea
C34,Tumor maligno de los bronquios y del pulmon
C340,Tumor maligno del bronquio principal
C341,Tumor maligno del lobulo superior, bronquio o pulmon
C342,Tumor maligno del lobulo medio, bronquio o pulmon
C343,Tumor maligno del lobulo inferior, bronquio o pulmon
C348,Lesion de sitios contiguos de los bronquios y del pulmon
C349,Tumor maligno de los bronquios o del pulmon, parte no especificada
C37,Tumor maligno del timo
C38,Tumor maligno del corazon, del mediastino y de la pleura
C380,Tumor maligno del corazon
C381,Tumor maligno del mediastino anterior
C382,Tumor maligno del mediastino posterior
C383,Tumor maligno del mediastino, parte no especificada
C384,Tumor maligno de la pleura
C388,Lesion de sitios contiguos del corazon, del mediastino y de la pleura
C39,Tumor maligno de otros sitios y de los mal definidos del sistema respiratorio y de los organos intratoracicos
C390,Tumor maligno de las vias respiratorias superiores, parte no especificada
C398,Lesion de sitios contiguos de los organos respiratorios e intratoracicos
C399,Tumor maligno de sitios mal definidos del sistema respiratorio
C40,Tumor maligno de los huesos y de los cartilagos articulares de los miembros
C400,Tumor maligno del omoplato y de los huesos largos del miembro superior
C401,Tumor maligno de los huesos cortos del miembro superior
C402,Tumor maligno de los huesos largos del miembro inferior
C403,Tumor maligno de los huesos cortos del miembro inferior
C408,Lesion de sitios contiguos de los huesos y de los cartilagos articulares de los miembros
C409,Tumor maligno de los huesos y de los cartilagos articulares de los miembros, sin otra especificacion
C41,Tumor maligno de los huesos y de los cartilagos articulares, de otros sitios y de sitios no especificados
C410,Tumor maligno de los huesos del craneo y de la cara
C411,Tumor maligno del hueso del maxilar inferior
C412,Tumor maligno de la columna vertebral
C413,Tumor maligno de la costilla, esternon y clavicula
C414,Tumor maligno de los huesos de la pelvis, sacro y coccix
C418,Lesion de sitios contiguos del hueso y del cartilago articular
C419,Tumor maligno de hueso y del cartilago articular, no especificado
C43,Melanoma maligno de la piel
C430,Melanoma maligno del labio
C431,Melanoma maligno del parpado, incluida la comisura palpebral
C432,Melanoma maligno de la oreja y del conducto auditivo externo
C433,Melanoma maligno de las otras partes y las no especificadas de la cara
C434,Melanoma maligno del cuero cabelludo y del cuello
C435,Melanoma maligno del tronco
C436,Melanoma maligno del miembro superior, incluido el hombro
C437,Melanoma maligno del miembro inferior, incluida la cadera
C438,Melanoma maligno de sitios contiguos de la piel
C439,Melanoma maligno de piel, sitio no especificado
C44,Otros tumores maligno de la piel
C440,Tumor maligno de la piel del labio
C441,Tumor maligno de la piel del parpado, incluida la comisura palpebral
C442,Tumor maligno de la piel de la oreja y del conducto auditivo externo
C443,Tumor maligno de la piel de otras partes y de las no especificadas de la cara
C444,Tumor maligno de la piel del cuero cabelludo y del cuello
C445,Tumor maligno de la piel del tronco
C446,Tumor maligno de la piel del miembro superior, incluido el hombro
C447,Tumor maligno de la piel del miembro inferior, incluida la cadera
C448,Lesion de sitios contiguos de la piel
C449,Tumor maligno de la piel, sitio no especificado
C45,Mesotelioma
C450,Mesotelioma de la pleura
C451,Mesotelioma del peritoneo
C452,Mesotelioma del pericardio
C457,Mesotelioma de otros sitios especificados
C459,Mesotelioma, de sitio no especificado
C46,Sarcoma de kaposi
C460,Sarcoma de kaposi de la piel
C461,Sarcoma de kaposi del tejido blando
C462,Sarcoma de kaposi del paladar
C463,Sarcoma de kaposi de los ganglios linfaticos
C467,Sarcoma de kaposi de otros sitios especificados
C468,Sarcoma de kaposi de multiples organos
C469,Sarcoma de kaposi, de sitio no especificado
C47,Tumor maligno de los nervios perifericos y del sistema nervioso autonomo
C470,Tumor maligno de los nervios perifericos de la cabeza, cara y cuello
C471,Tumor maligno de los nervios perifericos del miembro superior, incluido el hombro
C472,Tumor maligno de los nervios perifericos del miembro inferior, incluida la cadera
C473,Tumor maligno de los nervios perifericos del torax
C474,Tumor maligno de los nervios perifericos del abdomen
C475,Tumor maligno de los nervios perifericos de la pelvis
C476,Tumor maligno de los nervios perifericos del tronco, sin otra especificacion
C478,Lesion de sitios contiguos de los nervios perifericos y del sistema nervioso autonomo
C479,Tumor maligno de los nervios perifericos y del sistema nervioso autonomo, parte no especificada
C48,Tumor maligno del peritoneo y retroperitoneo
C480,Tumor maligno del retroperitoneo
C481,Tumor maligno de parte especificada del peritoneo
C482,Tumor maligno del peritoneo, sin otra especificacion
C488,Lesion de sitios contiguos del peritoneo y del retroperitoneo
C49,Tumor maligno otros tejidos conjuntivos y de tejidos blandos
C490,Tumor maligno del tejido conjuntivo y tejido blando de la cabeza, cara y cuello
C491,Tumor maligno del tejido conjuntivo y tejido blando del miembro superior, incluido el hombro
C492,Tumor maligno del tejido conjuntivo y tejido blando del miembro inferior, incluida la cadera
C493,Tumor maligno del tejido conjuntivo y tejido blando del torax
C494,Tumor maligno del tejido conjuntivo y tejido blando del abdomen
C495,Tumor maligno del tejido conjuntivo y tejido blando de la pelvis
C496,Tumor maligno del tejido conjuntivo y tejido blando del tronco, sin otra especificacion
C498,Lesion de sitios contiguos del tejido conjuntivo y del tejido del blando
C499,Tumor maligno del tejido conjuntivo y tejido blando, de sitio no especificado
C50,Tumor maligno de la mama
C500,Tumor maligno del pezon y areola mamaria
C501,Tumor maligno de la porcion central de la mama
C502,Tumor maligno del cuadrante superior interno de la mama
C503,Tumor maligno del cuadrante inferior interno de la mama
C504,Tumor maligno del cuadrante superior externo de la mama
C505,Tumor maligno del cuadrante inferior externo de la mama
C506,Tumor maligno de la prolongacion axilar de la mama
C508,Lesion de sitios contiguos de la mama
C509,Tumor maligno de la mama, parte no especificada
C51,Tumor maligno de la vulva
C510,Tumor maligno del labio mayor
C511,Tumor maligno del labio menor
C512,Tumor maligno del clitoris
C518,Lesion de sitios contiguos de la vulva
C519,Tumor maligno de la vulva, parte no especificada
C52,Tumor maligno de la vagina
C53,Tumor maligno del cuello del utero
C530,Tumor maligno del endocervix
C531,Tumor maligno de exocervix
C538,Lesion de sitios contiguos del cuello del utero
C539,Tumor maligno del cuello del utero, sin otra especificacion
C54,Tumor maligno del cuerpo del utero
C540,Tumor maligno del istmo uterino
C541,Tumor maligno del endometrio
C542,Tumor maligno del miometrio
C543,Tumor maligno del fondo del utero
C548,Lesion de sitios contiguos del cuerpo del utero
C549,Tumor maligno del cuerpo del utero, parte no especificada
C55,Tumor maligno del utero parte no especificada
C56,Tumor maligno del ovario
C57,Tumor maligno de otros organos genitales femeninos y los no especificados
C570,Tumor maligno de la trompa de falopio
C571,Tumor maligno del ligamento ancho
C572,Tumor maligno del ligamento redondo
C573,Tumor maligno del parametrio
C574,Tumor maligno de los anexos uterinos, sin otra especificacion
C577,Tumor maligno de otras partes especificadas de los organos genitales femeninos
C578,Lesion de sitios contiguos de los organos genitales femeninos
C579,Tumor maligno de organo genital femenino, parte no especificada
C58,Tumor maligno de la placenta
C60,Tumor maligno del pene
C600,Tumor maligno del prepucio
C601,Tumor maligno del glande
C602,Tumor maligno del cuerpo del pene
C608,Lesion de sitios contiguos del pene
C609,Tumor maligno del pene, parte no especificada
C61,Tumor maligno de la prostata
C62,Tumor maligno del testiculo
C620,Tumor maligno del testiculo no descendido
C621,Tumor maligno del testiculo descendido
C629,Tumor maligno del testiculo, no especificado
C63,Tumor maligno de otros organos genitales masculinos y de los no especificados
C630,Tumor maligno del epididimo
C631,Tumor maligno del cordon espermatico
C632,Tumor maligno del escroto
C637,Tumor maligno de otras partes especificadas de los organos genitales masculinos
C638,Lesion de sitios contiguos de los organos genitales masculinos
C639,Tumor maligno de organo genital masculino, parte no especificada
C64,Tumor maligno del rinon excepto de la pelvis renal
C65,Tumor maligno de la pelvis renal
C66,Tumor maligno del ureter
C67,Tumor maligno de la vejiga urinaria
C670,Tumor maligno del trigono vesical
C671,Tumor maligno de la cupula vesical
C672,Tumor maligno de la pared lateral de la vejiga
C673,Tumor maligno de la pared anterior de la vejiga
C674,Tumor maligno de la pared posterior de la vejiga
C675,Tumor maligno del cuello de la vejiga
C676,Tumor maligno del orificio ureteral
C677,Tumor maligno del uraco
C678,Lesion de sitios contiguos de la vejiga
C679,Tumor maligno de la vejiga urinaria, parte no especificada
C68,Tumor maligno otros organos urinarios y de los no especificados
C680,Tumor maligno de la uretra
C681,Tumor maligno de las glandulas parauretrales
C688,Lesion de sitios contiguos de los organos urinarios
C689,Tumor maligno de organo urinario no especificado
C69,Tumor maligno del ojo y sus anexos
C690,Tumor maligno de la conjuntiva
C691,Tumor maligno de la cornea
C692,Tumor maligno de la retina
C693,Tumor maligno de la coroides
C694,Tumor maligno del cuerpo ciliar
C695,Tumor maligno de la glandula y conducto lagrimales
C696,Tumor maligno de la orbita
C698,Lesion de sitios contiguos del ojo y sus anexos
C699,Tumor maligno del ojo, parte no especificada
C70,Tumor maligno de las meninges
C700,Tumor maligno de las meninges cerebrales
C701,Tumor maligno de las meninges raquideas
C709,Tumor maligno de las meninges, parte no especificada
C71,Tumor maligno del encefalo
C710,Tumor maligno del cerebro, excepto lobulos y ventriculos
C711,Tumor maligno del lobulo frontal
C712,Tumor maligno del lobulo temporal
C713,Tumor maligno del lobulo parietal
C714,Tumor maligno del lobulo occipital
C715,Tumor maligno del ventriculo cerebral
C716,Tumor maligno del cerebelo
C717,Tumor maligno del pedunculo cerebral
C718,Lesion de sitios contiguos del encefalo
C719,Tumor maligno del encefalo, parte no especificada
C72,Tumor maligno de la medula espinal, de los nervios craneales y de otras partes del sistema nervioso central
C720,Tumor maligno de la medula espinal
C721,Tumor maligno de la cola de caballo
C722,Tumor maligno del nervio olfatorio
C723,Tumor maligno del nervio optico
C724,Tumor maligno del nervio acustico
C725,Tumor maligno de otros nervios craneales y los no especificados
C728,Lesion de sitios contiguos del encefalo y otras partes del sistema nervioso central
C729,Tumor maligno del sistema nervioso central, sin otra especificacion
C73,Tumor maligno de la glandula tiroides
C74,Tumor maligno de la glandula suprarrenal
C740,Tumor maligno de la corteza de la glandula suprarrenal
C741,Tumor maligno de la medula de la glandula suprarrenal
C749,Tumor maligno de la glandula suprarrenal, parte no especificada
C75,Tumor maligno de otras glandulas endocrinas y de estructuras afines
C750,Tumor maligno de la glandula paratiroides
C751,Tumor maligno de la hipofisis
C752,Tumor maligno del conducto craneofaringeo
C753,Tumor maligno de la glandula pineal
C754,Tumor maligno del cuerpo carotideo
C755,Tumor maligno del cuerpo aortico y otros cuerpos cromafines
C758,Tumor maligno pluriglandular, no especificado
C759,Tumor maligno de glandula endocrina no especificada
C76,Tumor malignode otros sitios y de sitios mal definidos
C760,Tumor maligno de la cabeza, cara y cuello
C761,Tumor maligno del torax
C762,Tumor maligno del abdomen
C763,Tumor maligno de la pelvis
C764,Tumor maligno del miembro superior
C765,Tumor maligno del miembro inferior
C767,Tumor maligno de otros sitios mal definidos
C768,Lesion de sitios contiguos mal definidos
C77,Tumor maligno secundario y el no especificado de los ganglios linfaticos
C770,Tumor maligno de los ganglios linfaticos de la cabeza, cara y cuello
C771,Tumor maligno de los ganglios linfaticos intratoracicos
C772,Tumor maligno de los ganglios linfaticos intraabdominales
C773,Tumor maligno de los ganglios linfaticos de la axila y del miembro superior
C774,Tumor maligno de los ganglios linfaticos de la region inguinal y del miembro inferior
C775,Tumor maligno de los ganglios linfaticos de la pelvis
C778,Tumor maligno de los ganglios linfaticos de regiones multiples
C779,Tumor maligno del ganglio linfatico, sitio no especificado
C78,Tumor maligno secundario de los organos respiratorios y digestivos
C780,Tumor maligno secundario del pulmon
