codigo,descripcion,campo
R465,Suspicacia y evasividad marcadas
S43,Luxacion, esguince y torcedura de articulaciones y ligamentos de la cintura escapular
S430,Luxacion de la articulacion del hombro
S431,Luxacion de la articulacion acromioclavicular
S432,Luxacion de la articulacion esternoclavicular
S433,Luxacion de otras partes de la cintura escapular y de las no especificadas
S434,Esguinces y torceduras de la articulacion del hombro
S435,Esguinces y torceduras de la articulacion acromioclavicular
S436,Esguinces y torceduras de la articulacion esternoclavicular
S437,Esguinces y torceduras de otras partes y de las no especificadas de la cintura escapular
S44,Traumatismo de nervios a nivel del hombro y del brazo
S440,Traumatismo del nervio cubital a nivel del brazo
S441,Traumatismo del nervio mediano a nivel del brazo
S442,Traumatismo del nervio radial a nivel del brazo
S443,Traumatismo del nervio axilar
S444,Traumatismo del nervio musculocutaneo
S445,Traumatismo del nervio sensitivo cutaneo a nivel del hombro y del brazo
S447,Traumatismo del multiples nervios a nivel del hombro y del brazo
S448,Traumatismo de otros nervios a nivel del hombro y del brazo
S449,Traumatismo de nervio no especificado a nivel del hombro y del brazo
S45,Traumatismo de vasos sanguineos a nivel del hombro y del brazo
S450,Traumatismo de la arteria axilar
S451,Traumatismo de la arteria braquial
S452,Traumatismo de la vena axilar o braquial
S453,Traumatismo de venas superficial a nivel del hombro y del brazo
S457,Traumatismo de multiples vasos sanguineos a nivel del hombro y del brazo
S458,Traumatismo de otros vasos sanguineos a nivel del hombro y del brazo
S459,Traumatismo de vaso sanguineo no especificado a nivel del hombro y del brazo
S46,Traumatismo tendon y musculo a nivel del hombro y del brazo
S460,Traumatismo de tendon del manguito rotatorio del hombro
S461,Traumatismo de tendon y musculo de la cabeza larga del biceps
S462,Traumatismo de tendon y musculo de otras partes del biceps
S463,Traumatismo de tendon y musculo del triceps
S467,Traumatismo de multiples tendones y musculos a nivel del hombro y del brazo
S468,Traumatismo de otros tendones y musculos a nivel del hombro y del brazo
S469,Traumatismo de tendon y musculo no especificado nivel del hombro y del brazo
S47,Traumatismo por aplastamiento del hombro y del brazo
S48,Amputacion traumatica del hombro y del brazo
S480,Amputacion traumatica en la articulacion del hombro y del brazo
S481,Amputacion traumatica a nivel entre el hombro y el codo
S489,Amputacion traumatica del hombro y del brazo, nivel no especificado
S49,Otros traumatismos y los no especificados del hombro y del brazo
S497,Traumatismos multiples del hombro y del brazo
S498,Otros traumatismos especificados del hombro y del brazo
S499,Traumatismos no especificados del hombro y del brazo
S50,Traumatismo superficial del antebrazo y del codo
S500,Contusion del codo
S501,Contusion de otras partes del antebrazo y de las no especificadas
S507,Traumatismos superficiales multiples del antebrazo
S508,Otros traumatismos superficiales del antebrazo
S509,Traumatismo superficial del antebrazo, no especificado
S51,Herida del antebrazo y del codo
S510,Herida del codo
S517,Heridas multiples del antebrazo
S518,Heridas de otras partes del antebrazo
S519,Heridas del antebrazo, parte no especificada
S52,Fractura del antebrazo
S520,Fractura de la epifisis superior del cubito
S521,Fractura de la epifisis superior del radio
S522,Fractura de la diafisis del cubito
S523,Fractura de la diafisis del radio
S524,Fractura de la diafisis del cubito y del radio
S525,Fractura de la epifisis inferior del radio
S526,Fractura de la epifisis inferior del cubito y del radio
S527,Fracturas multiples del antebrazo
S528,Fractura de otras partes del antebrazo
S529,Fractura del antebrazo, parte no especificada
S53,Luxacion, esguince y torcedura de articulaciones y ligamentos del codo
S530,Luxacion de la cabeza del radio
S531,Luxacion del codo, no especificada
S532,Ruptura traumatica del ligamento lateral del radio
S533,Ruptura traumatica del ligamento lateral del cubito
S534,Esguinces y torceduras del codo
S54,Traumatismo de nervios a nivel del antebrazo
S540,Traumatismo del nervio cubital a nivel del antebrazo
S541,Traumatismo del nervio mediano a nivel del antebrazo
S542,Traumatismo del nervio radial a nivel del antebrazo
S543,Traumatismo del nervio sensorial cutaneo a nivel del antebrazo
S547,Traumatismo del multiples nervios a nivel del antebrazo
S548,Traumatismo de otros nervios a nivel del antebrazo
S549,Traumatismo de nervio no especificado a nivel del antebrazo
S55,Traumatismo de los vasos sanguin a nivel del antebrazo
S550,Traumatismo de la arteria cubital a nivel del antebrazo
S551,Traumatismo de la arteria radial a nivel del antebrazo
S552,Traumatismo de vena a nivel del antebrazo
S557,Traumatismo de multiples vasos sanguineos a nivel del antebrazo
S558,Traumatismo de otros vasos sanguineos a nivel del antebrazo
S559,Traumatismo de vaso sanguineo no especificado a nivel del antebrazo
S56,Traumatismo del tendon y musculo a nivel del antebrazo
S560,Traumatismo del tendon y musculo flexor del pulgar a nivel del antebrazo
S561,Traumatismo del tendon y musculo flexor de otro(s) dedo(s) a nivel del antebrazo
S562,Traumatismo del otro tendon y musculo flexor a nivel del antebrazo
S563,Traumatismo de tendones y musculos abductores y extensores del pulgar a nivel del antebrazo
S564,Traumatismo del tendon y musculo extensor de otro(s) dedo(s) a nivel del antebrazo
S565,Traumatismo de otro tendon y musculo extensor a nivel del antebrazo
S567,Traumatismo de multiples tendones y musculos a nivel del antebrazo
S568,Traumatismo de otros tendones y musculos y de los no especificados, a nivel del antebrazo
S57,Traumatismo por aplastamiento del antebrazo
S570,Traumatismo por aplastamiento del codo
S578,Traumatismo por aplastamiento de otras partes del antebrazo
S579,Traumatismo por aplastamiento del antebrazo, parte no especificada
S58,Amputacion traumatica del antebrazo
S580,Amputacion traumatica a nivel del codo
S581,Amputacion traumatica a nivel entre el codo y la muñeca
S589,Amputacion traumatica del antebrazo, nivel no especificado
S59,Otros traumatismos y los no especificados del antebrazo
S597,Traumatismos multiples del antebrazo
S598,Otros traumatismos especificados del antebrazo
S599,Traumatismos no especificados del antebrazo
S60,Traumatismo superficial de la muneca y de la mano
S600,Contusion de dedo(s) de la mano, sin daño de la(s) uña(s)
S601,Contusion de dedo(s) de la mano, con daño de la(s) uña(s)
S602,Contusion de otras partes de la muñeca y de la mano
S607,Traumatismos superficiales multiples de la muñeca y de la mano
S608,Otros traumatismos superficiales de la muñeca y de la mano
S609,Traumatismo superficial de la muñeca y de la mano, no especificado
S61,Herida de la muneca y de la mano
S610,Herida de dedo(s) de la mano, sin daño de la(s) uña(s)
S611,Herida de dedo(s) de la mano, con daño de la(s) uña(s)
S617,Heridas multiples de la muñeca y de la mano
S618,Heridas de otras partes de la muñeca y de la mano
S619,Herida de la muñeca y de la mano, parte no especificada
S62,Fractura a nivel de la muneca y de la mano
S620,Fractura del hueso escafoides [navicular] de la mano
S621,Fractura de otro(s) hueso(s) del carpo
S622,Fractura del primer metacarpiano
S623,Fractura de otros huesos metacarpianos
S624,Fracturas multiples de huesos metacarpianos
S625,Fractura del pulgar
S626,Fractura de otro dedo de la mano
S627,Fracturas multiples de los dedos de la mano
S628,Fractura de otras partes y de las no especificadas de la muñeca y de la mano
S63,Luxacion, esguince y torcedura de articulaciones y ligamentos a nivel de la muneca y de la mano
S630,Luxacion de la muñeca
S631,Luxacion de dedos de la mano
S632,Luxaciones multiples de dedos de la mano
S633,Ruptura traumatica de ligamentos de la muñeca y del carpo
S634,Ruptura traumatica de ligamentos del dedo de la mano en la(s) articulacion(es) metacarpofalangica e interfalangica
S635,Esguinces y torceduras de la muñeca
S636,Esguinces y torceduras de dedo(s) de la mano
S637,Esguinces y torceduras de otras partes y de las no especificadas de la muñeca y de la mano
S64,Traumatismo de nervios a nivel de la muneca y de la mano
S640,Traumatismo del nervio cubital a nivel de la muñeca y de la mano
S641,Traumatismo del nervio mediano a nivel de la muñeca y de la mano
S642,Traumatismo del nervio radial a nivel de la muñeca y de la mano
S643,Traumatismo del nervio digital del pulgar
S644,Traumatismo del nervio digital de otro dedo
S647,Traumatismo de multiples nervios a nivel de la muñeca y de la mano
S648,Traumatismo de otros nervios a nivel de la muñeca y de la mano
S649,Traumatismo de nervio no especificado a nivel de la muñeca y de la mano
S65,Traumatismo de los vasos sanguineos a nivel de la muneca y de la mano
S650,Traumatismo de la arteria cubital a nivel de la muñeca y de la mano
S651,Traumatismo de la arteria radial a nivel de la muñeca y de la mano
S652,Traumatismo del arco palmar superficial
S653,Traumatismo del arco palmar profundo
S654,Traumatismo de vaso(s) sanguineo(s) del pulgar
S655,Traumatismo de vaso(s) sanguineo(s) de otro dedo
S657,Traumatismo de multiples vasos sanguineos a nivel de la muñeca y de la mano
S658,Traumatismo de otros vasos sanguineos a nivel de la muñeca y de la mano
S659,Traumatismo de vaso sanguineo no especificado a nivel de la muñeca y de la mano
S66,Traumatismo de tendon y musculo a nivel de la muneca y de la mano
S660,Traumatismo del tendon y musculo flexor largo del pulgar a nivel de la muñeca y de la mano
S661,Traumatismo del tendon y musculo flexor de otro dedo a nivel de la muñeca y de la mano
S662,Traumatismo del tendon y musculo extensor del pulgar a nivel de la muñeca y de la mano
S663,Traumatismo del tendon y musculo extensor de otro(s) dedo(s) a nivel de la muñeca y de la mano
S664,Traumatismo del musculo y tendon intrinseco del pulgar a nivel de la muñeca y de la mano
S665,Traumatismo del musculo y tendon intrinseco de otro(s) dedo(s) a nivel de la muñeca y de la mano
S666,Traumatismo de multiples tendones y musculos flexores a nivel de la muñeca y de la mano
S667,Traumatismo de multiples tendones y musculos extensores a nivel de la muñeca y de la mano
S668,Traumatismo de otros tendones y musculos a nivel de la muñeca y de la mano
S669,Traumatismo de tendon y musculo no especificado, a nivel de la muñeca y de la mano
S67,Traumatismo por aplastamiento de la muneca y de la mano
S670,Traumatismo por aplastamiento del pulgar y otro(s) dedo(s)
S678,Traumatismo por aplastamiento de otras partes y de las no especificadas de la muñeca y de la mano
S68,Amputacion traumatica de la muneca y de la mano
S680,Amputacion traumatica del pulgar (completa) (parcial)
S681,Amputacion traumatica de otro dedo unico (completa) (parcial)
S682,Amputacion traumatica de dos o mas dedos solamente (completa) (parcial)
S683,Amputacion traumatica combinada (de parte) de dedo(s) con otras partes de la muñeca y de la mano
S684,Amputacion traumatica de la mano a nivel de la muñeca
S688,Amputacion traumatica de otras partes de la muñeca y de la mano
S689,Amputacion traumatica de la muñeca y de la mano, nivel no especificado
S69,Otros traumatismo y no especificados de la muneca y de la mano
S697,Traumatismos multiples de la muñeca y de la mano
S698,Otros traumatismos especificados de la muñeca y de la mano
S699,Traumatismo no especificado de la muñeca y de la mano
S70,Traumatismo superficial de la cadera y del muslo
S700,Contusion de la cadera
S701,Contusion del muslo
S707,Traumatismos superficiales multiples de la cadera y del muslo
S708,Otros traumatismos superficiales de la cadera y del muslo
S709,Traumatismo superficial de la cadera y del muslo, no especificado
S71,Herida de la cadera y del muslo
S710,Herida de la cadera
S711,Herida del muslo
S717,Heridas multiples de la cadera y del muslo
S718,Heridas de otras partes y de las no especificadas de la cintura pelvica
S72,Fractura del femur
S720,Fractura del cuello del femur
S721,Fractura pertrocanteriana
S722,Fractura subtrocanteriana
S723,Fractura de la diafisis del femur
S724,Fractura de la epifisis inferior del femur
S727,Fracturas multiples del femur
S728,Fractura de otras partes del femur
S729,Fractura del femur, parte no especificada
S73,Luxacion, esguince y torcedura de la articulacion y de los ligamentos de la cadera
S730,Luxacion de cadera
S731,Esguinces y torceduras de la cadera
S74,Traumatismo de nervios a nivel de la cadera y del muslo
S740,Traumatismo del nervio ciatico a nivel de la cadera y del muslo
S741,Traumatismo del nervio femorocutaneo a nivel de la cadera y del muslo
S742,Traumatismo del nervio sensorial cutaneo a nivel de la cadera y del muslo
S747,Traumatismo de nervios multiples a nivel de la cadera y del muslo
S748,Traumatismo de otros nervios a nivel de la cadera y del muslo
S749,Traumatismo de nervio no especificado a nivel de la cadera y del muslo
S75,Traumatismo de vasos sanguineos a de la nivel cadera y del muslo
S750,Traumatismo de la arteria femoral
S751,Traumatismo de la vena femoral a nivel de la cadera y del muslo
S752,Traumatismo de la gran vena safena a nivel de la cadera y del muslo
S757,Traumatismo de multiples vasos sanguineos a nivel de la cadera y del muslo
S758,Traumatismo de otros vasos sanguineos a nivel de la cadera y del muslo
S759,Traumatismo de vaso sanguineo no especificado a nivel de la cadera y del muslo
S76,Traumatismo de tendon y musculo a nivel de la cadera y del muslo
S760,Traumatismo del tendon y musculo de la cadera
S761,Traumatismo del tendon y musculo cuadriceps
S762,Traumatismo del tendon y musculo aductor mayor del muslo
S763,Traumatismo del tendon y musculo del grupo muscular posterior a nivel del muslo
S764,Traumatismo de otros tendones y musculos y los no especificados a nivel del muslo
S767,Traumatismo de multiples tendones y musculos y los no especificados a nivel de la cadera y del muslo
S77,Traumatismo aplastamiento de la cadera y del muslo
S770,Traumatismo por aplastamiento de la cadera
S771,Traumatismo por aplastamiento del muslo
S772,Traumatismo por aplastamiento de la cadera con el muslo
S78,Amputacion traumatica de la cadera y del muslo
S780,Amputacion traumatica de la articulacion de la cadera
S781,Amputacion traumatica en algun nivel entre la cadera y la rodilla
S789,Amputacion traumatica de cadera y muslo, nivel no especificado
S79,Otros traumatismo y los no especificados de la cadera y del muslo
S797,Traumatismos multiples de la cadera y del muslo
S798,Otros traumatismos especificados de la cadera y del muslo
S799,Traumatismo no especificado de la cadera y del muslo
S80,Traumatismo superficial de la pierna
S800,Contusion de la rodilla
S801,Contusion de otras partes y las no especificadas de la pierna
S807,Traumatismos superficiales multiples de la pierna
S808,Otros traumatismos superficiales de la pierna
S809,Traumatismo superficial de la pierna, no especificado
S81,Herida de la pierna
S810,Herida de la rodilla
S817,Heridas multiples de la pierna
S818,Herida de otras partes de la pierna
S819,Herida de la pierna, parte no especificada
S82,Fractura pierna, inclusive el tobillo
S820,Fractura de la rotula
S821,Fractura de la epifisis superior de la tibia
S822,Fractura de la diafisis de la tibia
S823,Fractura de la epifisis inferior de la tibia
S824,Fractura del perone solamente
S825,Fractura del maleolo interno
S826,Fractura del maleolo externo
S827,Fracturas multiples de la pierna
S828,Fractura de otras partes de la pierna
S829,Fractura de la pierna, parte no especificada
S83,Luxacion, esguince y torcedura de articulaciones y ligamentos de la rodilla
S830,Luxacion de la rotula
S831,Luxacion de la rodilla
S832,Desgarro de meniscos, presente
S833,Desgarro del cartilago articular de la rodilla, presente
S834,Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla
S835,Esguinces y torceduras que comprometen el ligamento cruzado (anterior) (posterior) de la rodilla
S836,Esguinces y torceduras de otras partes y las no especificadas de la rodilla
S837,Traumatismo de estructuras multiples de la rodilla
S84,Traumatismo de nervios a nivel de la pierna
S840,Traumatismo del nervio tibial a nivel de la pierna
S841,Traumatismo del nervio peroneo a nivel de la pierna
S842,Traumatismo del nervio sensorial cutaneo a nivel de la pierna
S847,Traumatismo de nervios multiples a nivel de la pierna
S848,Traumatismo de otros nervios a nivel de la pierna
S849,Traumatismo de nervio no especificado a nivel de la pierna
S85,Traumatismo de vasos sanguineos a nivel de la pierna
S850,Traumatismo de la arteria poplitea
S851,Traumatismo de la arteria tibial (anterior) (posterior)
S852,Traumatismo de la arteria peronea
S853,Traumatismo de la gran vena safena a nivel de la pierna
S854,Traumatismo de la vena safena externa nivel de la pierna
S855,Traumatismo de la vena poplitea
S857,Traumatismo de vasos sanguineos multiples a nivel de la pierna
S858,Traumatismo de otros vasos sanguineos a nivel de la pierna
S859,Traumatismo de vaso sanguineo no especificado a nivel de la pierna
S86,Traumatismo de tendon y musculo a nivel de la pierna
S860,Traumatismo del tendon de aquiles
S861,Traumatismo de otro tendon(es) y musculo(s) del grupo muscular posterior a nivel de la pierna
S862,Traumatismo del tendon(es) y musculo(s) del grupo muscular anterior a nivel de la pierna
S863,Traumatismo del tendon(es) y musculo(s) del grupo muscular peroneo a nivel de la pierna
S867,Traumatismo de multiples tendones y musculos a nivel de la pierna
S868,Traumatismo de otros tendones y musculos a nivel de la pierna
S869,Traumatismo de tendon y musculo no especificados a nivel de la pierna
S87,Traumatismo por aplastamiento de la pierna
S870,Traumatismo por aplastamiento de la rodilla
S878,Traumatismo por aplastamiento de otras partes y de las no especificadas de la pierna
S88,Amputacion traumatica de la pierna
S880,Amputacion traumatica a nivel de la rodilla
S881,Amputacion traumatica en algun nivel entre la rodilla y el tobillo
S889,Amputacion traumatica de la pierna, nivel no especificado
S89,Otros traumatismos y los no especificados de la pierna
S897,Traumatismos multiples de la pierna
S898,Otros traumatismos de la pierna, especificados
S899,Traumatismo de la pierna, no especificado
S90,Traumatismo superficial del tobillo y del pie
S900,Contusion del tobillo
S901,Contusion de dedo(s) del pie, sin daño de la(s) uña(s)
S902,Contusion de dedo(s) del pie, con daño de la(s) uña(s)
S903,Contusion de otras partes y de las no especificadas del pie
S907,Traumatismos superficiales multiples del pie y del tobillo
S908,Otros traumatismos superficiales del pie y del tobillo
S909,Traumatismo superficial del pie y del tobillo, no especificado
S91,Herida del tobillo y del pie
S910,Herida del tobillo
S911,Herida de dedo(s) del pie sin daño de la(s) uña(s)
S912,Herida de dedo(s) del pie con daño de la(s) uña(s)
S913,Heridas de otras partes del pie
S917,Heridas multiples del tobillo y del pie
S92,Fractura del pie, excepto del tobillo
S920,Fractura del calcaneo
S921,Fractura del astragalo
S922,Fractura de otro(s) hueso(s) del tarso
S923,Fractura de hueso del metatarso
S924,Fractura de los huesos del dedo gordo del pie
S925,Fractura de los huesos de otro(s) dedo(s) del pie
S927,Fracturas multiples del pie
S929,Fractura del pie, no especificada
S93,Luxacion, esguince y torcedura de articulaciones y ligamentos del tobillo y del pie
S930,Luxacion de la articulacion del tobillo
S931,Luxacion de dedo(s) del pie
S932,Ruptura de ligamentos a nivel del tobillo y del pie
S933,Luxacion de otros sitios y los no especificados del pie
S934,Esguinces y torceduras del tobillo
S935,Esguinces y torceduras de dedo(s) del pie
S936,Esguinces y torceduras de otros sitios y de los no especificados del pie
S94,Traumatismo nervioso a nivel del pie y del tobillo
S940,Traumatismo del nervio plantar externo
S941,Traumatismo del nervio plantar interno
S942,Traumatismo del nervio peroneal profundo a nivel del pie y del tobillo
S943,Traumatismo del nervio sensorial cutaneo a nivel del pie y del tobillo
S947,Traumatismo de multiples nervios a nivel del pie y del tobillo
S948,Traumatismo de otros nervios a nivel del pie y del tobillo
S949,Traumatismo de nervio no especificado a nivel del pie y del tobillo
S95,Traumatismo de vasos sanguineos a nivel del tobillo y del pie
S950,Traumatismo de la arteria dorsal del pie
S951,Traumatismo de la arteria plantar del pie
S952,Traumatismo de la vena dorsal del pie
S957,Traumatismo de multiples vasos sanguineos a nivel del pie y del tobillo
S958,Traumatismo de otros vasos sanguineos a nivel del pie y del tobillo
S959,Traumatismo de vaso sanguineo no especificado a nivel del pie y del tobillo
S96,Traumatismo de tendon y musculo a nivel del tobillo y del pie
S960,Traumatismo del tendon y musculo del flexor largo del dedo a nivel del pie y del tobillo
S961,Traumatismo del tendon y musculo del extensor largo del (de los) dedo(s) a nivel del pie y del tobillo
S962,Traumatismo de tendones y musculos intrinsecos a nivel del pie y del tobillo
S967,Traumatismo de multiples tendones y musculos a nivel del pie y del tobillo
S968,Traumatismo de otros tendones y musculos a nivel del pie y del tobillo
S969,Traumatismo de tendones y musculos no especificados a nivel del pie y del tobillo
S97,Traumatismo por aplastamiento del pie y del tobillo
S970,Traumatismo por aplastamiento del tobillo
S971,Traumatismo por aplastamiento de dedo(s) del pie
S978,Traumatismo por aplastamiento de otras partes del pie y del tobillo
S98,Amputacion traumatica del pie y del tobillo
S980,Amputacion traumatica del pie a nivel del tobillo
S981,Amputacion traumatica de un dedo del pie
S982,Amputacion traumatica de dos o mas dedos del pie
S983,Amputacion traumatica de otras partes del pie
S984,Amputacion del pie, nivel no especificado
S99,Otros traumatismo y los no especificados del tobillo y del pie
S997,Traumatismos multiples del pie y del tobillo
S998,Otros traumatismos del pie y del tobillo, especificados
S999,Traumatismo del pie y del tobillo, no especificado
T00,Traumatismos superficiales que afectan multiples regiones del cuerpo
T000,Traumatismos superficiales que afectan la cabeza con el cuello
T001,Traumatismos superficiales que afectan el torax con el abdomen, la region lumbosacra y la pelvis
T002,Traumatismos superficiales que afectan multiples regiones del(os) miembro(s) superior(es)
T003,Traumatismos superficiales que afectan multiples regiones del(os) miembro(s) inferior(es)
T006,Traumatismos superficiales que afectan multiples regiones del(os) miembro(s) superior(es) con miembro(s) inferior(es)
T008,Traumatismos superficiales que afectan otras combinaciones de regiones del cuerpo
T009,Traumatismos superficiales multiples, no especificados
T01,Heridas que afectan multiples regiones del cuerpo
T010,Heridas que afectan la cabeza con el cuello
T011,Heridas que afectan el torax con el abdomen, la region lumbosacra y la pelvis
T012,Heridas que afectan multiples regiones del(de los) miembro(s) superior(es)
T013,Heridas que afectan multiples regiones del(de los) miembro(s) inferior(es)
T016,Heridas que afectan multiples regiones del(de los) miembro(s) superior(es) con miembro(s) inferior(es)
T018,Heridas que afectan otras combinaciones de regiones del cuerpo
T019,Heridas multiples, no especificados
T02,Fracturas que afectan multiples regiones del cuerpo
T020,Fracturas que afectan la cabeza con el cuello
T021,Fracturas que afectan el torax con el abdomen, la region lumbosacra y la pelvis
T022,Fracturas que afectan multiples regiones de un miembro superior
T023,Fracturas que afectan multiples regiones de un miembro inferior
T024,Fracturas que afectan multiples regiones de ambos miembros superiores
T025,Fracturas que afectan multiples regiones de ambos miembros inferiores
T026,Fracturas que afectan multiples regiones de miembro(s) superior(es) con miembro(s) inferior(es)
T027,Fracturas que afectan el torax con la region lumbosacra y la pelvis con miembro(s)
T028,Fracturas que afectan otras combinaciones de regiones del cuerpo
T029,Fracturas multiples, no especificados
T03,Luxaciones, torceduras y esguinces que afectan multiples regiones del cuerpo
T030,Luxaciones, torceduras y esguinces que afectan la cabeza con el cuello
T031,Luxaciones, torceduras y esguinces que afectan el torax con la region lumbosacra y la pelvis
T032,Luxaciones, torceduras y esguinces que afectan multiples regiones del(de los) miembro(s) superior(es)
T033,Luxaciones, torceduras y esguinces que afectan multiples regiones del(de los) miembro(s) inferior(es)
T034,Luxaciones, torceduras y esguinces que afectan multiples regiones del(de los) miembro(s) superior(es) con miembro(s) inferior(es)
T038,Luxaciones, torceduras y esguinces que afectan otras combinaciones de regiones del cuerpo
T039,Luxaciones, torceduras y esguinces multiples, no especificados
T04,Traumatismos por aplastamiento que afectan multiples regiones del cuerpo
T040,Traumatismos por aplastamiento que afectan la cabeza con el cuello
T041,Traumatismos por aplastamiento que afectan el torax con el abdomen, la region lumbosacra y la pelvis
T042,Traumatismos por aplastamiento que afectan multiples regiones del(de los) miembro(s) superior(es)
T043,Traumatismos por aplastamiento que afectan multiples regiones del(de los) miembro(s) inferior(es)
T044,Traumatismos por aplastamiento que afectan multiples regiones del(de los) miembro(s) superior(es) con miembro(s) inferior(es)
T047,Traumatismos por aplastamiento del torax con el abdomen, de la region lumbosacra y de la pelvis con miembro(s)
T048,Traumatismos por aplastamiento que afectan otras combinaciones de regiones del cuerpo
T049,Traumatismos por aplastamiento multiples, no especificados
T05,Amputaciones traumaticas que afectan multiples regiones del cuerpo
T050,Amputacion traumatica de ambas manos
T051,Amputacion traumatica de una mano y el otro brazo [cualquier nivel, excepto mano]
T052,Amputacion traumatica de ambos brazos [cualquier nivel]
T053,Amputacion traumatica de ambos pies
T054,Amputacion traumatica de un pie y la otra pierna [cualquier nivel, excepto pie]
T055,Amputacion traumatica de ambas piernas [cualquier nivel]
T056,Amputacion traumatica de miembros superior(es) e inferior(es), cualquier combinacion [cualquier nivel]
T058,Amputacion traumatica que afecta otras combinaciones de regiones del cuerpo
T059,Amputacion traumatica multiples, no especificadas
T06,Otros traumatismos que afectan multiples regiones del cuerpo no clasificadas en otra parte
T060,Traumatismos del encefalo y de los nervios craneales con traumatismo de nervios y medula espinal a nivel del cuello
T061,Traumatismos de nervios y medula espinal que afectan otras multiples regiones del cuerpo
T062,Traumatismos de nervios que afectan multiples regiones del cuerpo
T063,Traumatismos de vasos sanguineos que afectan multiples regiones del cuerpo
T064,Traumatismos de tendones y musculos que afectan multiples regiones del cuerpo
T065,Traumatismos de organos intratoracicos con organos intraabdominales y pelvicos
T068,Otros traumatismos especificados que afectan multiples regiones del cuerpo
T07,Traumatismos multiples no especificados
T08,Fractura de la columna vertebral, nivel no especificado
T09,Otros traumatismos de la columna vertebral y del tronco, nivel no especificado
T090,Traumatismos superficial del tronco, nivel no especificado
T091,Herida del tronco, nivel no especificado
T092,Luxacion, esguince o torcedura de articulacion y ligamentos del tronco, no especificado
T093,Traumatismo de la medula espinal, nivel no especificado
T094,Traumatismo de nervios, raiz de nervio espinal y plexos del tronco no especificados
T095,Traumatismo de tendones y musculos del tronco no especificados
T096,Amputacion traumatica del tronco, nivel no especificado
T098,Otros traumatismos especificados del tronco, nivel no especificado
T099,Traumatismo no especificado del tronco, nivel no especificado
T10,Fractura de miembro superior, nivel no especificado
T11,Otros traumatismos de miembro superior, nivel no especificado
T110,Traumatismos superficial de miembro superior, nivel no especificado
T111,Herida de miembro superior, nivel no especificado
T112,Luxacion, esguince o torcedura de articulacion o ligamento no especificado de miembro superior, nivel no especificado
T113,Traumatismo de nervio no especificado de miembro superior, nivel no especificado
T114,Traumatismo de vasos sanguineos no especificados de miembro superior, nivel no especificado
T115,Traumatismo de tendon y musculo no especificados de miembro superior, nivel no especificado
T116,Amputacion traumatica de miembro superior, nivel no especificado
T118,Otros traumatismos especificados de miembro superior, nivel no especificado
T119,Traumatismo no especificado de miembro superior, nivel no especificado
T12,Fractura de miembro inferior, nivel no especificado
T13,Otros traumatismos de miembro inferior, nivel no especificado
T130,Traumatismo superficial de miembro inferior, nivel no especificado
T131,Herida de miembro inferior, nivel no especificado
T132,Luxacion, esguince o torcedura de articulacion y ligamentos no especificados de miembro inferior, nivel no especificado
T133,Traumatismo de nervios no especificados de miembro inferior, nivel no especificado
T134,Traumatismo de vasos sanguineos no especificados de miembro inferior, nivel no especificado
T135,Traumatismo de tendones y musculos no especificados de miembro inferior, nivel no especificado
T136,Amputacion traumatica de miembro inferior, nivel no especificado
T138,Otros traumatismos especificados de miembro inferior, nivel no especificado
T139,Traumatismo no especificado de miembro inferior, nivel no especificado
T14,Traumatismo de regiones no especificadas del cuerpo
T140,Traumatismos superficial de region no especificada del cuerpo
T141,Herida de region no especificada del cuerpo
T142,Fractura de region no especificada del cuerpo
T143,Luxacion, esguince o torcedura de region no especificada del cuerpo
T144,Traumatismo de nervio(s) de region no especificada del cuerpo
T145,Traumatismo de vaso(s) sanguineo(s) de region no especificada del cuerpo
T146,Traumatismo de tendones y musculos de region no especificada del cuerpo
T147,Traumatismo por aplastamiento y amputacion traumatica de regiones no especificadas del cuerpo
T148,Otros traumatismos de region no especificada del cuerpo
T149,Traumatismo, no especificado
T15,Cuerpo extrano en parte externa del ojo
T150,Cuerpo extraño en la cornea
T151,Cuerpo extraño en el saco conjuntival
T158,Cuerpo extraño en otras y en multiples partes de la parte externa del ojo
T159,Cuerpo extraño en parte externa del ojo, sitio no especificado
T16,Cuerpo extrano en el oido
T17,Cuerpo extrano en las vias respiratorias
T170,Cuerpo extraño en seno paranasal
T171,Cuerpo extraño en el orificio nasal
T172,Cuerpo extraño en la faringe
T173,Cuerpo extraño en la laringe
T174,Cuerpo extraño en la traquea
T175,Cuerpo extraño en bronquios
T178,Cuerpo extraño en otras y en multiples partes de las vias respiratorias
T179,Cuerpo extraño en las vias respiratorias, parte no especificada
T18,Cuerpo extrano en el tubo digestivo
T180,Cuerpo extraño en la boca
T181,Cuerpo extraño en el esofago
T182,Cuerpo extraño en el estomago
T183,Cuerpo extraño en el intestino delgado
T184,Cuerpo extraño en el colon
T185,Cuerpo extraño en el ano y en el recto
T188,Cuerpo extraño en otras y en multiples partes del tubo digestivo
T189,Cuerpo extraño en el tubo digestivo, parte no especificada
T19,Cuerpo extrano en las vias genitourinarias
T190,Cuerpo extraño en la uretra
T191,Cuerpo extraño en la vejiga
T192,Cuerpo extraño en la vulva y en la vagina
T193,Cuerpo extraño en el utero [cualquier parte]
T198,Cuerpo extraño en otras y en multiples partes de las vias genitourinarias
